#   R_nom       meanR       meanlogR       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8356e+00   1.0401e+00   9.8063e-04  -1.0706e-06   2.5393e-06   5.7567e+06   5.7567e+06
  3.5313e+00   3.5695e+00   1.2702e+00   1.1528e-03  -1.5437e-06   2.0398e-06   8.9216e+06   8.9216e+06
  4.4457e+00   4.5088e+00   1.5040e+00   1.1185e-03   6.6695e-07   1.6047e-06   1.4414e+07   1.4414e+07
  5.5968e+00   5.6564e+00   1.7306e+00   8.9817e-04   9.8179e-07   1.2929e-06   2.2206e+07   2.2206e+07
  7.0460e+00   7.1242e+00   1.9613e+00   6.7188e-04   2.6282e-07   1.0160e-06   3.5962e+07   3.5962e+07
  8.8703e+00   8.9663e+00   2.1913e+00   6.2562e-04  -6.9835e-07   8.1622e-07   5.5716e+07   5.5716e+07
  1.1167e+01   1.1288e+01   2.4216e+00   4.9694e-04  -3.5877e-08   6.4643e-07   8.8830e+07   8.8830e+07
  1.4059e+01   1.4215e+01   2.6521e+00   4.0510e-04  -3.6340e-07   5.1478e-07   1.4007e+08   1.4007e+08
  1.7699e+01   1.7895e+01   2.8824e+00   3.1650e-04   7.2572e-07   4.1077e-07   2.1999e+08   2.1999e+08
  2.2281e+01   2.2524e+01   3.1124e+00   2.5987e-04   1.1938e-07   3.2641e-07   3.4838e+08   3.4838e+08
  2.8050e+01   2.8367e+01   3.3430e+00   2.1558e-04   3.8181e-07   2.6019e-07   5.4831e+08   5.4831e+08
  3.5313e+01   3.5693e+01   3.5728e+00   1.8167e-04  -5.6406e-08   2.0737e-07   8.6315e+08   8.6315e+08
  4.4457e+01   4.4951e+01   3.8034e+00   1.5603e-04   2.5215e-07   1.6504e-07   1.3628e+09   1.3628e+09
  5.5968e+01   5.6576e+01   4.0334e+00   1.3328e-04  -5.7734e-07   1.3181e-07   2.1363e+09   2.1363e+09
  7.0460e+01   7.1215e+01   4.2635e+00   1.1283e-04  -7.0262e-07   1.0491e-07   3.3729e+09   3.3729e+09
  8.8703e+01   8.9674e+01   4.4940e+00   9.6170e-05  -1.2731e-06   8.3849e-08   5.2796e+09   5.2796e+09
  1.1167e+02   1.1286e+02   4.7240e+00   8.5423e-05  -2.1000e-06   6.7006e-08   8.2674e+09   8.2674e+09
  1.4059e+02   1.4210e+02   4.9544e+00   8.3388e-05  -3.0539e-06   5.3618e-08   1.2911e+10   1.2911e+10
  1.7699e+02   1.7888e+02   5.1846e+00   7.2985e-05  -3.6992e-06   4.3038e-08   2.0039e+10   2.0039e+10
  2.2281e+02   2.2520e+02   5.4148e+00   5.7524e-05  -4.9208e-06   3.4579e-08   3.1044e+10   3.1044e+10
