#   R_nom       meanR       meanlogR       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8358e+00   1.0401e+00   8.4663e-04   2.2395e-06   2.6310e-06   1.4728e+07   1.4728e+07
  3.5313e+00   3.5697e+00   1.2703e+00   9.7468e-04  -9.9300e-07   2.1119e-06   2.2858e+07   2.2858e+07
  4.4457e+00   4.5079e+00   1.5038e+00   8.9136e-04  -1.7991e-08   1.6622e-06   3.6899e+07   3.6899e+07
  5.5968e+00   5.6566e+00   1.7306e+00   6.4530e-04  -5.4808e-07   1.3388e-06   5.6874e+07   5.6874e+07
  7.0460e+00   7.1240e+00   1.9613e+00   4.3235e-04  -1.1077e-06   1.0528e-06   9.1979e+07   9.1979e+07
  8.8703e+00   8.9666e+00   2.1913e+00   4.3047e-04  -5.7426e-07   8.4541e-07   1.4263e+08   1.4263e+08
  1.1167e+01   1.1288e+01   2.4216e+00   3.4588e-04  -5.3775e-07   6.6963e-07   2.2735e+08   2.2735e+08
  1.4059e+01   1.4215e+01   2.6521e+00   2.9577e-04  -8.2952e-07   5.3344e-07   3.5825e+08   3.5825e+08
  1.7699e+01   1.7895e+01   2.8823e+00   2.5076e-04   1.6090e-08   4.2539e-07   5.6336e+08   5.6336e+08
  2.2281e+01   2.2524e+01   3.1124e+00   2.2185e-04  -8.5807e-07   3.3824e-07   8.9104e+08   8.9104e+08
  2.8050e+01   2.8365e+01   3.3430e+00   1.9293e-04   6.4655e-07   2.6949e-07   1.4037e+09   1.4037e+09
  3.5313e+01   3.5694e+01   3.5728e+00   1.6785e-04  -9.0343e-07   2.1476e-07   2.2103e+09   2.2103e+09
  4.4457e+01   4.4949e+01   3.8033e+00   1.4506e-04  -7.1799e-07   1.7091e-07   3.4898e+09   3.4898e+09
  5.5968e+01   5.6577e+01   4.0334e+00   1.2461e-04  -4.0222e-07   1.3643e-07   5.4769e+09   5.4769e+09
  7.0460e+01   7.1220e+01   4.2636e+00   1.1335e-04  -1.1103e-06   1.0863e-07   8.6396e+09   8.6396e+09
  8.8703e+01   8.9669e+01   4.4939e+00   9.5277e-05  -2.6915e-06   8.6797e-08   1.3532e+10   1.3532e+10
  1.1167e+02   1.1287e+02   4.7241e+00   7.4207e-05  -3.7915e-06   6.9338e-08   2.1204e+10   2.1204e+10
  1.4059e+02   1.4211e+02   4.9544e+00   5.5666e-05  -4.6330e-06   5.5489e-08   3.3108e+10   3.3108e+10
  1.7699e+02   1.7889e+02   5.1846e+00   4.1990e-05  -6.0686e-06   4.4503e-08   5.1473e+10   5.1473e+10
  2.2281e+02   2.2521e+02   5.4148e+00   2.2665e-05  -7.5511e-06   3.5758e-08   7.9729e+10   7.9729e+10
