#   R_nom       meanR       meanlogR       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8358e+00   1.0401e+00   1.8499e-05   8.1336e-07   1.2251e-06   1.1432e+07   1.1432e+07
  3.5313e+00   3.5697e+00   1.2703e+00   2.1044e-05   1.7472e-07   9.8386e-07   1.7724e+07   1.7724e+07
  4.4457e+00   4.5082e+00   1.5039e+00   1.7236e-05   3.0071e-07   7.7414e-07   2.8628e+07   2.8628e+07
  5.5968e+00   5.6566e+00   1.7306e+00   1.4538e-05   1.0544e-06   6.2355e-07   4.4126e+07   4.4126e+07
  7.0460e+00   7.1242e+00   1.9613e+00   9.1252e-06  -1.3441e-07   4.9027e-07   7.1379e+07   7.1379e+07
  8.8703e+00   8.9665e+00   2.1913e+00   1.2766e-05   1.4898e-07   3.9373e-07   1.1067e+08   1.1067e+08
  1.1167e+01   1.1289e+01   2.4216e+00   1.0542e-05   5.2476e-07   3.1185e-07   1.7642e+08   1.7642e+08
  1.4059e+01   1.4215e+01   2.6521e+00   9.2173e-06  -9.7170e-09   2.4842e-07   2.7800e+08   2.7800e+08
  1.7699e+01   1.7895e+01   2.8824e+00   6.6449e-06   2.5794e-07   1.9812e-07   4.3710e+08   4.3710e+08
  2.2281e+01   2.2524e+01   3.1124e+00   5.7814e-06  -9.2325e-08   1.5751e-07   6.9153e+08   6.9153e+08
  2.8050e+01   2.8365e+01   3.3430e+00   4.3702e-06   2.6572e-07   1.2551e-07   1.0891e+09   1.0891e+09
  3.5313e+01   3.5694e+01   3.5728e+00   5.4153e-06  -1.3867e-07   1.0003e-07   1.7147e+09   1.7147e+09
  4.4457e+01   4.4949e+01   3.8033e+00   3.5143e-06  -5.4406e-07   7.9611e-08   2.7070e+09   2.7070e+09
  5.5968e+01   5.6577e+01   4.0334e+00   8.7619e-07  -8.4384e-07   6.3561e-08   4.2468e+09   4.2468e+09
  7.0460e+01   7.1218e+01   4.2636e+00  -9.6828e-07  -1.4603e-06   5.0606e-08   6.6993e+09   6.6993e+09
  8.8703e+01   8.9670e+01   4.4940e+00  -1.3539e-06  -1.1277e-06   4.0439e-08   1.0491e+10   1.0491e+10
  1.1167e+02   1.1287e+02   4.7241e+00  -3.3555e-07  -1.2948e-06   3.2307e-08   1.6437e+10   1.6437e+10
  1.4059e+02   1.4210e+02   4.9544e+00   1.5278e-06  -1.5583e-06   2.5856e-08   2.5662e+10   2.5662e+10
  1.7699e+02   1.7889e+02   5.1846e+00   3.8390e-06  -1.6352e-06   2.0734e-08   3.9907e+10   3.9907e+10
  2.2281e+02   2.2521e+02   5.4149e+00   6.7440e-07  -2.1318e-06   1.6658e-08   6.1825e+10   6.1825e+10
