#   R_nom       meanR       meanlogR       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8358e+00   1.0401e+00   2.5108e-04   7.4189e-07   1.3105e-06   9.9900e+06   9.9900e+06
  3.5313e+00   3.5695e+00   1.2702e+00   2.8955e-04  -1.0676e-06   1.0524e-06   1.5491e+07   1.5491e+07
  4.4457e+00   4.5083e+00   1.5039e+00   2.6927e-04   1.0135e-06   8.2801e-07   2.5024e+07   2.5024e+07
  5.5968e+00   5.6565e+00   1.7306e+00   2.0109e-04   1.6478e-07   6.6709e-07   3.8553e+07   3.8553e+07
  7.0460e+00   7.1241e+00   1.9613e+00   1.3494e-04  -4.9707e-07   5.2433e-07   6.2406e+07   6.2406e+07
  8.8703e+00   8.9667e+00   2.1913e+00   1.2894e-04  -6.4360e-07   4.2116e-07   9.6723e+07   9.6723e+07
  1.1167e+01   1.1289e+01   2.4216e+00   9.8970e-05  -2.7990e-08   3.3356e-07   1.5420e+08   1.5420e+08
  1.4059e+01   1.4215e+01   2.6521e+00   8.2862e-05  -4.2424e-07   2.6572e-07   2.4299e+08   2.4299e+08
  1.7699e+01   1.7895e+01   2.8824e+00   6.7384e-05  -1.1541e-07   2.1193e-07   3.8199e+08   3.8199e+08
  2.2281e+01   2.2524e+01   3.1124e+00   5.5991e-05   2.4524e-07   1.6847e-07   6.0449e+08   6.0449e+08
  2.8050e+01   2.8365e+01   3.3430e+00   5.0173e-05   2.2316e-07   1.3425e-07   9.5187e+08   9.5187e+08
  3.5313e+01   3.5693e+01   3.5728e+00   4.2282e-05  -3.6845e-07   1.0698e-07   1.4990e+09   1.4990e+09
  4.4457e+01   4.4950e+01   3.8034e+00   3.5099e-05  -2.5075e-07   8.5138e-08   2.3670e+09   2.3670e+09
  5.5968e+01   5.6578e+01   4.0334e+00   3.1060e-05  -4.5994e-07   6.7966e-08   3.7140e+09   3.7140e+09
  7.0460e+01   7.1218e+01   4.2636e+00   2.9910e-05  -4.9905e-07   5.4103e-08   5.8613e+09   5.8613e+09
  8.8703e+01   8.9671e+01   4.4940e+00   2.3686e-05  -7.8093e-07   4.3230e-08   9.1806e+09   9.1806e+09
  1.1167e+02   1.1287e+02   4.7241e+00   1.8129e-05  -1.7683e-06   3.4535e-08   1.4386e+10   1.4386e+10
  1.4059e+02   1.4211e+02   4.9544e+00   1.5545e-05  -2.0389e-06   2.7636e-08   2.2463e+10   2.2463e+10
  1.7699e+02   1.7889e+02   5.1846e+00   1.4885e-05  -2.8619e-06   2.2165e-08   3.4922e+10   3.4922e+10
  2.2281e+02   2.2521e+02   5.4149e+00   1.2812e-05  -3.8703e-06   1.7806e-08   5.4113e+10   5.4113e+10
