#   R_nom       meanR       meanlogR       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8356e+00   1.0401e+00   6.7473e-04  -8.7391e-07   1.7264e-06   5.7567e+06   5.7567e+06
  3.5313e+00   3.5695e+00   1.2702e+00   7.9439e-04  -6.4288e-07   1.3867e-06   8.9216e+06   8.9216e+06
  4.4457e+00   4.5088e+00   1.5040e+00   7.7176e-04   6.5568e-07   1.0910e-06   1.4414e+07   1.4414e+07
  5.5968e+00   5.6564e+00   1.7306e+00   6.2059e-04   9.8825e-07   8.7899e-07   2.2206e+07   2.2206e+07
  7.0460e+00   7.1242e+00   1.9613e+00   4.6378e-04  -2.1819e-07   6.9071e-07   3.5962e+07   3.5962e+07
  8.8703e+00   8.9663e+00   2.1913e+00   4.3182e-04  -5.7944e-07   5.5491e-07   5.5716e+07   5.5716e+07
  1.1167e+01   1.1288e+01   2.4216e+00   3.4358e-04  -2.1621e-08   4.3948e-07   8.8830e+07   8.8830e+07
  1.4059e+01   1.4215e+01   2.6521e+00   2.8037e-04  -2.0281e-07   3.4998e-07   1.4007e+08   1.4007e+08
  1.7699e+01   1.7895e+01   2.8824e+00   2.1749e-04   3.0282e-07   2.7927e-07   2.1999e+08   2.1999e+08
  2.2281e+01   2.2524e+01   3.1124e+00   1.7771e-04  -9.2512e-08   2.2192e-07   3.4838e+08   3.4838e+08
  2.8050e+01   2.8367e+01   3.3430e+00   1.4710e-04   1.7299e-07   1.7689e-07   5.4831e+08   5.4831e+08
  3.5313e+01   3.5693e+01   3.5728e+00   1.2379e-04  -1.5376e-07   1.4099e-07   8.6315e+08   8.6315e+08
  4.4457e+01   4.4951e+01   3.8034e+00   1.0671e-04  -1.7694e-07   1.1220e-07   1.3628e+09   1.3628e+09
  5.5968e+01   5.6576e+01   4.0334e+00   9.0982e-05  -5.0870e-07   8.9615e-08   2.1363e+09   2.1363e+09
  7.0460e+01   7.1215e+01   4.2635e+00   7.6896e-05  -4.8463e-07   7.1321e-08   3.3729e+09   3.3729e+09
  8.8703e+01   8.9674e+01   4.4940e+00   6.5615e-05  -9.3744e-07   5.7005e-08   5.2796e+09   5.2796e+09
  1.1167e+02   1.1286e+02   4.7240e+00   5.8712e-05  -1.4103e-06   4.5554e-08   8.2674e+09   8.2674e+09
  1.4059e+02   1.4210e+02   4.9544e+00   5.7964e-05  -2.0924e-06   3.6453e-08   1.2911e+10   1.2911e+10
  1.7699e+02   1.7888e+02   5.1846e+00   5.1169e-05  -2.6352e-06   2.9260e-08   2.0039e+10   2.0039e+10
  2.2281e+02   2.2520e+02   5.4148e+00   4.1301e-05  -3.3327e-06   2.3508e-08   3.1044e+10   3.1044e+10
