#   R_nom       meanR       meanlogR       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8358e+00   1.0402e+00   3.0909e-05   3.3185e-06   2.2952e-06   7.0465e+06   7.0465e+06
  3.5313e+00   3.5696e+00   1.2703e+00   3.7056e-05   3.8292e-07   1.8440e-06   1.0917e+07   1.0917e+07
  4.4457e+00   4.5088e+00   1.5040e+00   3.5433e-05   6.8189e-07   1.4504e-06   1.7645e+07   1.7645e+07
  5.5968e+00   5.6566e+00   1.7306e+00   3.0819e-05   1.0152e-06   1.1686e-06   2.7181e+07   2.7181e+07
  7.0460e+00   7.1243e+00   1.9614e+00   2.3528e-05   1.8386e-07   9.1831e-07   4.4016e+07   4.4016e+07
  8.8703e+00   8.9666e+00   2.1913e+00   2.1722e-05   1.1270e-07   7.3777e-07   6.8195e+07   6.8195e+07
  1.1167e+01   1.1289e+01   2.4216e+00   1.6491e-05   1.6982e-06   5.8428e-07   1.0873e+08   1.0873e+08
  1.4059e+01   1.4215e+01   2.6521e+00   1.5821e-05   4.0516e-08   4.6540e-07   1.7137e+08   1.7137e+08
  1.7699e+01   1.7895e+01   2.8824e+00   1.4170e-05   1.1408e-06   3.7123e-07   2.6934e+08   2.6934e+08
  2.2281e+01   2.2524e+01   3.1124e+00   8.3027e-06  -3.7497e-07   2.9510e-07   4.2625e+08   4.2625e+08
  2.8050e+01   2.8366e+01   3.3430e+00   3.9415e-06   4.3203e-07   2.3517e-07   6.7118e+08   6.7118e+08
  3.5313e+01   3.5693e+01   3.5728e+00  -1.0561e-06  -4.9607e-07   1.8742e-07   1.0568e+09   1.0568e+09
  4.4457e+01   4.4951e+01   3.8034e+00  -9.4843e-07  -1.5678e-06   1.4915e-07   1.6686e+09   1.6686e+09
  5.5968e+01   5.6577e+01   4.0334e+00  -2.2889e-06  -1.7529e-06   1.1910e-07   2.6169e+09   2.6169e+09
  7.0460e+01   7.1217e+01   4.2636e+00  -2.9150e-06  -1.8653e-06   9.4782e-08   4.1319e+09   4.1319e+09
  8.8703e+01   8.9673e+01   4.4940e+00  -6.0010e-06  -1.9459e-06   7.5740e-08   6.4707e+09   6.4707e+09
  1.1167e+02   1.1287e+02   4.7240e+00  -5.4517e-06  -2.3315e-06   6.0520e-08   1.0134e+10   1.0134e+10
  1.4059e+02   1.4210e+02   4.9544e+00  -4.0637e-06  -3.0751e-06   4.8420e-08   1.5832e+10   1.5832e+10
  1.7699e+02   1.7889e+02   5.1846e+00   1.0961e-06  -3.9122e-06   3.8840e-08   2.4606e+10   2.4606e+10
  2.2281e+02   2.2521e+02   5.4148e+00  -4.0343e-06  -5.2194e-06   3.1207e-08   3.8116e+10   3.8116e+10
