#   R_nom       meanR       meanlogR       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8358e+00   1.0401e+00   2.9684e-04   2.1079e-06   2.3899e-06   1.1432e+07   1.1432e+07
  3.5313e+00   3.5697e+00   1.2703e+00   3.3718e-04  -5.0687e-07   1.9193e-06   1.7724e+07   1.7724e+07
  4.4457e+00   4.5082e+00   1.5039e+00   3.0362e-04   1.8222e-06   1.5102e-06   2.8628e+07   2.8628e+07
  5.5968e+00   5.6566e+00   1.7306e+00   2.1835e-04   1.4670e-06   1.2164e-06   4.4126e+07   4.4126e+07
  7.0460e+00   7.1242e+00   1.9613e+00   1.4655e-04   3.3865e-07   9.5642e-07   7.1379e+07   7.1379e+07
  8.8703e+00   8.9665e+00   2.1913e+00   1.5593e-04  -2.0220e-07   7.6810e-07   1.1067e+08   1.1067e+08
  1.1167e+01   1.1289e+01   2.4216e+00   1.2653e-04   1.0076e-06   6.0836e-07   1.7642e+08   1.7642e+08
  1.4059e+01   1.4215e+01   2.6521e+00   1.1448e-04   2.6354e-07   4.8463e-07   2.7800e+08   2.7800e+08
  1.7699e+01   1.7895e+01   2.8824e+00   9.7278e-05   6.6497e-07   3.8650e-07   4.3710e+08   4.3710e+08
  2.2281e+01   2.2524e+01   3.1124e+00   8.5167e-05  -2.0150e-07   3.0728e-07   6.9153e+08   6.9153e+08
  2.8050e+01   2.8365e+01   3.3430e+00   7.5156e-05   1.3093e-06   2.4485e-07   1.0891e+09   1.0891e+09
  3.5313e+01   3.5694e+01   3.5728e+00   6.8489e-05   8.5435e-08   1.9514e-07   1.7147e+09   1.7147e+09
  4.4457e+01   4.4949e+01   3.8033e+00   5.5681e-05  -7.5045e-07   1.5531e-07   2.7070e+09   2.7070e+09
  5.5968e+01   5.6577e+01   4.0334e+00   4.5460e-05  -1.3958e-06   1.2400e-07   4.2468e+09   4.2468e+09
  7.0460e+01   7.1218e+01   4.2636e+00   3.4904e-05  -2.5547e-06   9.8723e-08   6.6993e+09   6.6993e+09
  8.8703e+01   8.9670e+01   4.4940e+00   2.8397e-05  -1.8443e-06   7.8889e-08   1.0491e+10   1.0491e+10
  1.1167e+02   1.1287e+02   4.7241e+00   2.1194e-05  -2.3869e-06   6.3026e-08   1.6437e+10   1.6437e+10
  1.4059e+02   1.4210e+02   4.9544e+00   1.7250e-05  -3.1610e-06   5.0441e-08   2.5662e+10   2.5662e+10
  1.7699e+02   1.7889e+02   5.1846e+00   1.6144e-05  -3.7272e-06   4.0449e-08   3.9907e+10   3.9907e+10
  2.2281e+02   2.2521e+02   5.4149e+00   4.5530e-06  -4.3378e-06   3.2498e-08   6.1825e+10   6.1825e+10
