#   R_nom       meanR       meanlogR       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8358e+00   1.0401e+00   6.4044e-04   1.1144e-06   1.9276e-06   9.9900e+06   9.9900e+06
  3.5313e+00   3.5695e+00   1.2702e+00   7.3889e-04  -1.6430e-06   1.5480e-06   1.5491e+07   1.5491e+07
  4.4457e+00   4.5083e+00   1.5039e+00   6.8808e-04   1.1193e-06   1.2179e-06   2.5024e+07   2.5024e+07
  5.5968e+00   5.6565e+00   1.7306e+00   5.1107e-04  -1.9223e-07   9.8122e-07   3.8553e+07   3.8553e+07
  7.0460e+00   7.1241e+00   1.9613e+00   3.4646e-04  -3.2912e-07   7.7123e-07   6.2406e+07   6.2406e+07
  8.8703e+00   8.9667e+00   2.1913e+00   3.3203e-04  -7.6582e-07   6.1949e-07   9.6723e+07   9.6723e+07
  1.1167e+01   1.1289e+01   2.4216e+00   2.5822e-04  -1.1812e-07   4.9064e-07   1.5420e+08   1.5420e+08
  1.4059e+01   1.4215e+01   2.6521e+00   2.1501e-04  -3.9076e-07   3.9085e-07   2.4299e+08   2.4299e+08
  1.7699e+01   1.7895e+01   2.8824e+00   1.7604e-04  -1.1544e-08   3.1173e-07   3.8199e+08   3.8199e+08
  2.2281e+01   2.2524e+01   3.1124e+00   1.4941e-04   4.0160e-07   2.4780e-07   6.0449e+08   6.0449e+08
  2.8050e+01   2.8365e+01   3.3430e+00   1.3298e-04   5.1260e-07   1.9747e-07   9.5187e+08   9.5187e+08
  3.5313e+01   3.5693e+01   3.5728e+00   1.1449e-04  -1.7748e-07   1.5736e-07   1.4990e+09   1.4990e+09
  4.4457e+01   4.4950e+01   3.8034e+00   9.8061e-05  -4.3691e-08   1.2523e-07   2.3670e+09   2.3670e+09
  5.5968e+01   5.6578e+01   4.0334e+00   8.6053e-05  -4.8743e-07   9.9971e-08   3.7140e+09   3.7140e+09
  7.0460e+01   7.1218e+01   4.2636e+00   7.8022e-05  -7.4970e-07   7.9580e-08   5.8613e+09   5.8613e+09
  8.8703e+01   8.9671e+01   4.4940e+00   6.3827e-05  -1.0395e-06   6.3586e-08   9.1806e+09   9.1806e+09
  1.1167e+02   1.1287e+02   4.7241e+00   5.1113e-05  -2.4776e-06   5.0797e-08   1.4386e+10   1.4386e+10
  1.4059e+02   1.4211e+02   4.9544e+00   4.3677e-05  -3.1854e-06   4.0650e-08   2.2463e+10   2.2463e+10
  1.7699e+02   1.7889e+02   5.1846e+00   3.8986e-05  -4.6470e-06   3.2602e-08   3.4922e+10   3.4922e+10
  2.2281e+02   2.2521e+02   5.4149e+00   2.8891e-05  -6.2517e-06   2.6191e-08   5.4113e+10   5.4113e+10
