#   R_nom       meanR       meanlogR       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8358e+00   1.0401e+00   9.3758e-04   1.6514e-06   2.5565e-06   9.9900e+06   9.9900e+06
  3.5313e+00   3.5695e+00   1.2702e+00   1.0816e-03  -2.0045e-06   2.0530e-06   1.5491e+07   1.5491e+07
  4.4457e+00   4.5083e+00   1.5039e+00   1.0066e-03   1.1855e-06   1.6153e-06   2.5024e+07   2.5024e+07
  5.5968e+00   5.6565e+00   1.7306e+00   7.4656e-04  -6.6417e-07   1.3014e-06   3.8553e+07   3.8553e+07
  7.0460e+00   7.1241e+00   1.9613e+00   5.0741e-04   1.5634e-07   1.0229e-06   6.2406e+07   6.2406e+07
  8.8703e+00   8.9667e+00   2.1913e+00   4.8771e-04  -9.1529e-07   8.2162e-07   9.6723e+07   9.6723e+07
  1.1167e+01   1.1289e+01   2.4216e+00   3.8076e-04  -4.5591e-08   6.5072e-07   1.5420e+08   1.5420e+08
  1.4059e+01   1.4215e+01   2.6521e+00   3.1645e-04  -5.8731e-07   5.1837e-07   2.4299e+08   2.4299e+08
  1.7699e+01   1.7895e+01   2.8824e+00   2.6005e-04   1.0604e-07   4.1344e-07   3.8199e+08   3.8199e+08
  2.2281e+01   2.2524e+01   3.1124e+00   2.2207e-04   2.7451e-07   3.2866e-07   6.0449e+08   6.0449e+08
  2.8050e+01   2.8365e+01   3.3430e+00   1.9669e-04   8.2923e-07   2.6191e-07   9.5187e+08   9.5187e+08
  3.5313e+01   3.5693e+01   3.5728e+00   1.7007e-04   4.7704e-08   2.0871e-07   1.4990e+09   1.4990e+09
  4.4457e+01   4.4950e+01   3.8034e+00   1.4670e-04   1.1932e-07   1.6609e-07   2.3670e+09   2.3670e+09
  5.5968e+01   5.6578e+01   4.0334e+00   1.2814e-04  -4.9290e-07   1.3259e-07   3.7140e+09   3.7140e+09
  7.0460e+01   7.1218e+01   4.2636e+00   1.1479e-04  -9.9127e-07   1.0555e-07   5.8613e+09   5.8613e+09
  8.8703e+01   8.9671e+01   4.4940e+00   9.4819e-05  -1.2766e-06   8.4333e-08   9.1806e+09   9.1806e+09
  1.1167e+02   1.1287e+02   4.7241e+00   7.7160e-05  -3.2229e-06   6.7371e-08   1.4386e+10   1.4386e+10
  1.4059e+02   1.4211e+02   4.9544e+00   6.5740e-05  -4.4443e-06   5.3913e-08   2.2463e+10   2.2463e+10
  1.7699e+02   1.7889e+02   5.1846e+00   5.7853e-05  -6.5034e-06   4.3240e-08   3.4922e+10   3.4922e+10
  2.2281e+02   2.2521e+02   5.4149e+00   4.0322e-05  -8.4283e-06   3.4736e-08   5.4113e+10   5.4113e+10
