#   R_nom       meanR       meanlogR       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8358e+00   1.0402e+00   3.3190e-04   5.0464e-06   3.8036e-06   7.0465e+06   7.0465e+06
  3.5313e+00   3.5696e+00   1.2703e+00   3.8306e-04   7.1361e-07   3.0558e-06   1.0917e+07   1.0917e+07
  4.4457e+00   4.5088e+00   1.5040e+00   3.5074e-04   5.2880e-07   2.4036e-06   1.7645e+07   1.7645e+07
  5.5968e+00   5.6566e+00   1.7306e+00   2.5925e-04   2.6697e-06   1.9366e-06   2.7181e+07   2.7181e+07
  7.0460e+00   7.1243e+00   1.9614e+00   1.8222e-04   3.4089e-08   1.5218e-06   4.4016e+07   4.4016e+07
  8.8703e+00   8.9666e+00   2.1913e+00   1.8755e-04   4.5746e-07   1.2227e-06   6.8195e+07   6.8195e+07
  1.1167e+01   1.1289e+01   2.4216e+00   1.5788e-04   2.5555e-06   9.6828e-07   1.0873e+08   1.0873e+08
  1.4059e+01   1.4215e+01   2.6521e+00   1.4506e-04   2.2428e-07   7.7128e-07   1.7137e+08   1.7137e+08
  1.7699e+01   1.7895e+01   2.8824e+00   1.2924e-04   1.7691e-06   6.1522e-07   2.6934e+08   2.6934e+08
  2.2281e+01   2.2524e+01   3.1124e+00   1.0842e-04   4.7190e-08   4.8904e-07   4.2625e+08   4.2625e+08
  2.8050e+01   2.8366e+01   3.3430e+00   9.0890e-05   1.0645e-06   3.8973e-07   6.7118e+08   6.7118e+08
  3.5313e+01   3.5693e+01   3.5728e+00   7.2650e-05  -2.9862e-07   3.1059e-07   1.0568e+09   1.0568e+09
  4.4457e+01   4.4951e+01   3.8034e+00   6.1966e-05  -1.5364e-06   2.4717e-07   1.6686e+09   1.6686e+09
  5.5968e+01   5.6577e+01   4.0334e+00   5.2267e-05  -2.2206e-06   1.9737e-07   2.6169e+09   2.6169e+09
  7.0460e+01   7.1217e+01   4.2636e+00   3.7521e-05  -1.9071e-06   1.5707e-07   4.1319e+09   4.1319e+09
  8.8703e+01   8.9673e+01   4.4940e+00   2.1487e-05  -2.5913e-06   1.2552e-07   6.4707e+09   6.4707e+09
  1.1167e+02   1.1287e+02   4.7240e+00   1.5968e-05  -3.3561e-06   1.0029e-07   1.0134e+10   1.0134e+10
  1.4059e+02   1.4210e+02   4.9544e+00   9.6122e-06  -4.4804e-06   8.0243e-08   1.5832e+10   1.5832e+10
  1.7699e+02   1.7889e+02   5.1846e+00   1.0700e-05  -6.1960e-06   6.4367e-08   2.4606e+10   2.4606e+10
  2.2281e+02   2.2521e+02   5.4148e+00   1.7206e-06  -8.1368e-06   5.1716e-08   3.8116e+10   3.8116e+10
