#   R_nom       meanR       meanlogR       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8358e+00   1.0401e+00   4.9060e-05   2.8299e-07   1.0793e-06   1.4728e+07   1.4728e+07
  3.5313e+00   3.5697e+00   1.2703e+00   5.7991e-05  -5.9984e-07   8.6637e-07   2.2858e+07   2.2858e+07
  4.4457e+00   4.5079e+00   1.5038e+00   5.1898e-05   9.1667e-09   6.8188e-07   3.6899e+07   3.6899e+07
  5.5968e+00   5.6566e+00   1.7306e+00   4.0076e-05  -2.1093e-07   5.4924e-07   5.6874e+07   5.6874e+07
  7.0460e+00   7.1240e+00   1.9613e+00   2.7701e-05  -3.1327e-07   4.3189e-07   9.1979e+07   9.1979e+07
  8.8703e+00   8.9666e+00   2.1913e+00   2.6752e-05  -5.6472e-07   3.4682e-07   1.4263e+08   1.4263e+08
  1.1167e+01   1.1288e+01   2.4216e+00   2.1136e-05  -2.9173e-07   2.7471e-07   2.2735e+08   2.2735e+08
  1.4059e+01   1.4215e+01   2.6521e+00   1.8434e-05  -2.8835e-07   2.1884e-07   3.5825e+08   3.5825e+08
  1.7699e+01   1.7895e+01   2.8823e+00   1.6628e-05  -2.8713e-07   1.7451e-07   5.6336e+08   5.6336e+08
  2.2281e+01   2.2524e+01   3.1124e+00   1.3373e-05  -3.5602e-07   1.3876e-07   8.9104e+08   8.9104e+08
  2.8050e+01   2.8365e+01   3.3430e+00   1.0107e-05   1.5876e-07   1.1056e-07   1.4037e+09   1.4037e+09
  3.5313e+01   3.5694e+01   3.5728e+00   7.9783e-06  -7.1851e-07   8.8103e-08   2.2103e+09   2.2103e+09
  4.4457e+01   4.4949e+01   3.8033e+00   6.4548e-06  -6.9654e-07   7.0116e-08   3.4898e+09   3.4898e+09
  5.5968e+01   5.6577e+01   4.0334e+00   5.3984e-06  -5.9308e-07   5.5969e-08   5.4769e+09   5.4769e+09
  7.0460e+01   7.1220e+01   4.2636e+00   6.2251e-06  -9.3837e-07   4.4563e-08   8.6396e+09   8.6396e+09
  8.8703e+01   8.9669e+01   4.4939e+00   5.3832e-06  -1.3796e-06   3.5608e-08   1.3532e+10   1.3532e+10
  1.1167e+02   1.1287e+02   4.7241e+00   4.9884e-06  -1.6225e-06   2.8445e-08   2.1204e+10   2.1204e+10
  1.4059e+02   1.4211e+02   4.9544e+00   4.1114e-06  -2.1414e-06   2.2764e-08   3.3108e+10   3.3108e+10
  1.7699e+02   1.7889e+02   5.1846e+00   2.9184e-06  -2.6039e-06   1.8257e-08   5.1473e+10   5.1473e+10
  2.2281e+02   2.2521e+02   5.4148e+00   8.9472e-07  -3.6309e-06   1.4669e-08   7.9729e+10   7.9729e+10
