#   R_nom       meanR       meanlogR       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8358e+00   1.0401e+00   2.7763e-04   9.8695e-07   1.5876e-06   1.4728e+07   1.4728e+07
  3.5313e+00   3.5697e+00   1.2703e+00   3.2093e-04  -8.9428e-07   1.2743e-06   2.2858e+07   2.2858e+07
  4.4457e+00   4.5079e+00   1.5038e+00   2.9244e-04   2.7233e-08   1.0030e-06   3.6899e+07   3.6899e+07
  5.5968e+00   5.6566e+00   1.7306e+00   2.1359e-04  -4.2054e-07   8.0787e-07   5.6874e+07   5.6874e+07
  7.0460e+00   7.1240e+00   1.9613e+00   1.4373e-04  -4.5032e-07   6.3526e-07   9.1979e+07   9.1979e+07
  8.8703e+00   8.9666e+00   2.1913e+00   1.4166e-04  -6.3226e-07   5.1014e-07   1.4263e+08   1.4263e+08
  1.1167e+01   1.1288e+01   2.4216e+00   1.1265e-04  -4.8887e-07   4.0407e-07   2.2735e+08   2.2735e+08
  1.4059e+01   1.4215e+01   2.6521e+00   9.6447e-05  -4.6041e-07   3.2189e-07   3.5825e+08   3.5825e+08
  1.7699e+01   1.7895e+01   2.8823e+00   8.2683e-05  -3.3280e-07   2.5669e-07   5.6336e+08   5.6336e+08
  2.2281e+01   2.2524e+01   3.1124e+00   7.2108e-05  -4.8962e-07   2.0410e-07   8.9104e+08   8.9104e+08
  2.8050e+01   2.8365e+01   3.3430e+00   6.1818e-05   3.2422e-07   1.6262e-07   1.4037e+09   1.4037e+09
  3.5313e+01   3.5694e+01   3.5728e+00   5.3335e-05  -7.7846e-07   1.2959e-07   2.2103e+09   2.2103e+09
  4.4457e+01   4.4949e+01   3.8033e+00   4.5862e-05  -7.2986e-07   1.0313e-07   3.4898e+09   3.4898e+09
  5.5968e+01   5.6577e+01   4.0334e+00   3.9010e-05  -7.8202e-07   8.2325e-08   5.4769e+09   5.4769e+09
  7.0460e+01   7.1220e+01   4.2636e+00   3.6594e-05  -1.2559e-06   6.5547e-08   8.6396e+09   8.6396e+09
  8.8703e+01   8.9669e+01   4.4939e+00   3.0994e-05  -2.1438e-06   5.2375e-08   1.3532e+10   1.3532e+10
  1.1167e+02   1.1287e+02   4.7241e+00   2.5341e-05  -2.5868e-06   4.1840e-08   2.1204e+10   2.1204e+10
  1.4059e+02   1.4211e+02   4.9544e+00   2.0105e-05  -3.2132e-06   3.3483e-08   3.3108e+10   3.3108e+10
  1.7699e+02   1.7889e+02   5.1846e+00   1.5334e-05  -4.0173e-06   2.6854e-08   5.1473e+10   5.1473e+10
  2.2281e+02   2.2521e+02   5.4148e+00   7.4814e-06  -5.3074e-06   2.1577e-08   7.9729e+10   7.9729e+10
