#   R_nom       meanR       meanlogR       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8358e+00   1.0401e+00   5.8682e-04   1.6763e-06   2.1056e-06   1.4728e+07   1.4728e+07
  3.5313e+00   3.5697e+00   1.2703e+00   6.7619e-04  -1.0610e-06   1.6901e-06   2.2858e+07   2.2858e+07
  4.4457e+00   4.5079e+00   1.5038e+00   6.1796e-04   1.0500e-07   1.3302e-06   3.6899e+07   3.6899e+07
  5.5968e+00   5.6566e+00   1.7306e+00   4.4839e-04  -5.1796e-07   1.0715e-06   5.6874e+07   5.6874e+07
  7.0460e+00   7.1240e+00   1.9613e+00   3.0103e-04  -7.1228e-07   8.4254e-07   9.1979e+07   9.1979e+07
  8.8703e+00   8.9666e+00   2.1913e+00   2.9845e-04  -5.6429e-07   6.7659e-07   1.4263e+08   1.4263e+08
  1.1167e+01   1.1288e+01   2.4216e+00   2.3834e-04  -5.6605e-07   5.3591e-07   2.2735e+08   2.2735e+08
  1.4059e+01   1.4215e+01   2.6521e+00   2.0396e-04  -6.1455e-07   4.2692e-07   3.5825e+08   3.5825e+08
  1.7699e+01   1.7895e+01   2.8823e+00   1.7350e-04  -2.2589e-07   3.4044e-07   5.6336e+08   5.6336e+08
  2.2281e+01   2.2524e+01   3.1124e+00   1.5285e-04  -6.9733e-07   2.7070e-07   8.9104e+08   8.9104e+08
  2.8050e+01   2.8365e+01   3.3430e+00   1.3309e-04   4.6703e-07   2.1567e-07   1.4037e+09   1.4037e+09
  3.5313e+01   3.5694e+01   3.5728e+00   1.1580e-04  -8.5882e-07   1.7187e-07   2.2103e+09   2.2103e+09
  4.4457e+01   4.4949e+01   3.8033e+00   1.0021e-04  -7.4900e-07   1.3678e-07   3.4898e+09   3.4898e+09
  5.5968e+01   5.6577e+01   4.0334e+00   8.5694e-05  -7.4800e-07   1.0919e-07   5.4769e+09   5.4769e+09
  7.0460e+01   7.1220e+01   4.2636e+00   7.8263e-05  -1.3471e-06   8.6934e-08   8.6396e+09   8.6396e+09
  8.8703e+01   8.9669e+01   4.4939e+00   6.6036e-05  -2.6476e-06   6.9464e-08   1.3532e+10   1.3532e+10
  1.1167e+02   1.1287e+02   4.7241e+00   5.2364e-05  -3.3843e-06   5.5492e-08   2.1204e+10   2.1204e+10
  1.4059e+02   1.4211e+02   4.9544e+00   4.0386e-05  -4.1727e-06   4.4409e-08   3.3108e+10   3.3108e+10
  1.7699e+02   1.7889e+02   5.1846e+00   3.1079e-05  -5.2521e-06   3.5616e-08   5.1473e+10   5.1473e+10
  2.2281e+02   2.2521e+02   5.4148e+00   1.6642e-05  -6.6846e-06   2.8617e-08   7.9729e+10   7.9729e+10
