#   R_nom       meanR       meanlogR       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8356e+00   1.0401e+00   1.3073e-03  -2.6362e-06   4.2082e-06   5.7567e+06   5.7567e+06
  3.5313e+00   3.5695e+00   1.2702e+00   1.5370e-03  -3.8612e-06   3.3803e-06   8.9216e+06   8.9216e+06
  4.4457e+00   4.5088e+00   1.5040e+00   1.4889e-03  -6.2227e-07   2.6594e-06   1.4414e+07   1.4414e+07
  5.5968e+00   5.6564e+00   1.7306e+00   1.1948e-03   5.8795e-07   2.1426e-06   2.2206e+07   2.2206e+07
  7.0460e+00   7.1242e+00   1.9613e+00   8.9525e-04   3.8722e-07   1.6837e-06   3.5962e+07   3.5962e+07
  8.8703e+00   8.9663e+00   2.1913e+00   8.3318e-04  -1.5135e-06   1.3527e-06   5.5716e+07   5.5716e+07
  1.1167e+01   1.1288e+01   2.4216e+00   6.6147e-04  -5.8707e-07   1.0713e-06   8.8830e+07   8.8830e+07
  1.4059e+01   1.4215e+01   2.6521e+00   5.3811e-04  -5.1851e-07   8.5310e-07   1.4007e+08   1.4007e+08
  1.7699e+01   1.7895e+01   2.8824e+00   4.2603e-04   1.5238e-06   6.8074e-07   2.1999e+08   2.1999e+08
  2.2281e+01   2.2524e+01   3.1124e+00   3.4815e-04   8.5473e-07   5.4094e-07   3.4838e+08   3.4838e+08
  2.8050e+01   2.8367e+01   3.3430e+00   2.8786e-04   1.1078e-06   4.3119e-07   5.4831e+08   5.4831e+08
  3.5313e+01   3.5693e+01   3.5728e+00   2.4354e-04   1.8361e-07   3.4367e-07   8.6315e+08   8.6315e+08
  4.4457e+01   4.4951e+01   3.8034e+00   2.0463e-04   9.5709e-07   2.7351e-07   1.3628e+09   1.3628e+09
  5.5968e+01   5.6576e+01   4.0334e+00   1.7498e-04  -1.4939e-07   2.1845e-07   2.1363e+09   2.1363e+09
  7.0460e+01   7.1215e+01   4.2635e+00   1.4746e-04  -3.8273e-07   1.7385e-07   3.3729e+09   3.3729e+09
  8.8703e+01   8.9674e+01   4.4940e+00   1.2350e-04  -1.1389e-06   1.3896e-07   5.2796e+09   5.2796e+09
  1.1167e+02   1.1286e+02   4.7240e+00   1.0830e-04  -2.6302e-06   1.1104e-07   8.2674e+09   8.2674e+09
  1.4059e+02   1.4210e+02   4.9544e+00   1.0602e-04  -4.4871e-06   8.8857e-08   1.2911e+10   1.2911e+10
  1.7699e+02   1.7888e+02   5.1846e+00   9.2671e-05  -5.4529e-06   7.1324e-08   2.0039e+10   2.0039e+10
  2.2281e+02   2.2520e+02   5.4148e+00   7.1996e-05  -7.4064e-06   5.7304e-08   3.1044e+10   3.1044e+10
