#   R_nom       meanR       meanlogR       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8358e+00   1.0402e+00   1.1045e-05   1.8415e-06   1.5604e-06   7.0465e+06   7.0465e+06
  3.5313e+00   3.5696e+00   1.2703e+00   1.2770e-05   4.9499e-08   1.2536e-06   1.0917e+07   1.0917e+07
  4.4457e+00   4.5088e+00   1.5040e+00   1.3307e-05   5.2730e-07   9.8607e-07   1.7645e+07   1.7645e+07
  5.5968e+00   5.6566e+00   1.7306e+00   1.3068e-05   4.8182e-07   7.9448e-07   2.7181e+07   2.7181e+07
  7.0460e+00   7.1243e+00   1.9614e+00   1.0583e-05   9.5350e-08   6.2432e-07   4.4016e+07   4.4016e+07
  8.8703e+00   8.9666e+00   2.1913e+00   9.6822e-06  -4.8858e-08   5.0158e-07   6.8195e+07   6.8195e+07
  1.1167e+01   1.1289e+01   2.4216e+00   6.4967e-06   1.1111e-06   3.9723e-07   1.0873e+08   1.0873e+08
  1.4059e+01   1.4215e+01   2.6521e+00   6.6421e-06  -9.7676e-08   3.1641e-07   1.7137e+08   1.7137e+08
  1.7699e+01   1.7895e+01   2.8824e+00   6.2350e-06   7.2271e-07   2.5239e-07   2.6934e+08   2.6934e+08
  2.2281e+01   2.2524e+01   3.1124e+00   3.0101e-06  -4.3814e-07   2.0062e-07   4.2625e+08   4.2625e+08
  2.8050e+01   2.8366e+01   3.3430e+00   4.4681e-07  -5.4370e-08   1.5988e-07   6.7118e+08   6.7118e+08
  3.5313e+01   3.5693e+01   3.5728e+00  -2.3022e-06  -5.1078e-07   1.2742e-07   1.0568e+09   1.0568e+09
  4.4457e+01   4.4951e+01   3.8034e+00  -1.9561e-06  -1.3150e-06   1.0140e-07   1.6686e+09   1.6686e+09
  5.5968e+01   5.6577e+01   4.0334e+00  -3.6054e-06  -1.1817e-06   8.0970e-08   2.6169e+09   2.6169e+09
  7.0460e+01   7.1217e+01   4.2636e+00  -2.7416e-06  -1.4587e-06   6.4438e-08   4.1319e+09   4.1319e+09
  8.8703e+01   8.9673e+01   4.4940e+00  -4.3893e-06  -1.3494e-06   5.1492e-08   6.4707e+09   6.4707e+09
  1.1167e+02   1.1287e+02   4.7240e+00  -3.0335e-06  -1.5008e-06   4.1145e-08   1.0134e+10   1.0134e+10
  1.4059e+02   1.4210e+02   4.9544e+00  -1.0794e-06  -2.0706e-06   3.2919e-08   1.5832e+10   1.5832e+10
  1.7699e+02   1.7889e+02   5.1846e+00   2.2229e-06  -2.3449e-06   2.6406e-08   2.4606e+10   2.4606e+10
  2.2281e+02   2.2521e+02   5.4148e+00  -1.2777e-06  -3.1943e-06   2.1216e-08   3.8116e+10   3.8116e+10
