#   R_nom       meanR       meanlogR       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8358e+00   1.0401e+00   6.4100e-04   2.9718e-06   2.9862e-06   1.1432e+07   1.1432e+07
  3.5313e+00   3.5697e+00   1.2703e+00   7.2874e-04  -7.9077e-07   2.3983e-06   1.7724e+07   1.7724e+07
  4.4457e+00   4.5082e+00   1.5039e+00   6.5921e-04   2.3158e-06   1.8870e-06   2.8628e+07   2.8628e+07
  5.5968e+00   5.6566e+00   1.7306e+00   4.7112e-04   1.3838e-06   1.5200e-06   4.4126e+07   4.4126e+07
  7.0460e+00   7.1242e+00   1.9613e+00   3.1756e-04   2.8654e-07   1.1951e-06   7.1379e+07   7.1379e+07
  8.8703e+00   8.9665e+00   2.1913e+00   3.3399e-04  -2.9709e-07   9.5976e-07   1.1067e+08   1.1067e+08
  1.1167e+01   1.1289e+01   2.4216e+00   2.7294e-04   1.2514e-06   7.6016e-07   1.7642e+08   1.7642e+08
  1.4059e+01   1.4215e+01   2.6521e+00   2.4650e-04   4.0669e-07   6.0555e-07   2.7800e+08   2.7800e+08
  1.7699e+01   1.7895e+01   2.8824e+00   2.1232e-04   1.0056e-06   4.8293e-07   4.3710e+08   4.3710e+08
  2.2281e+01   2.2524e+01   3.1124e+00   1.8966e-04  -9.7491e-08   3.8395e-07   6.9153e+08   6.9153e+08
  2.8050e+01   2.8365e+01   3.3430e+00   1.6887e-04   1.7434e-06   3.0595e-07   1.0891e+09   1.0891e+09
  3.5313e+01   3.5694e+01   3.5728e+00   1.5157e-04   1.9362e-07   2.4383e-07   1.7147e+09   1.7147e+09
  4.4457e+01   4.4949e+01   3.8033e+00   1.2712e-04  -9.5375e-07   1.9406e-07   2.7070e+09   2.7070e+09
  5.5968e+01   5.6577e+01   4.0334e+00   1.0730e-04  -1.4366e-06   1.5494e-07   4.2468e+09   4.2468e+09
  7.0460e+01   7.1218e+01   4.2636e+00   8.5348e-05  -2.6210e-06   1.2336e-07   6.6993e+09   6.6993e+09
  8.8703e+01   8.9670e+01   4.4940e+00   6.8289e-05  -1.8274e-06   9.8574e-08   1.0491e+10   1.0491e+10
  1.1167e+02   1.1287e+02   4.7241e+00   5.1877e-05  -2.6124e-06   7.8753e-08   1.6437e+10   1.6437e+10
  1.4059e+02   1.4210e+02   4.9544e+00   3.9500e-05  -3.5550e-06   6.3028e-08   2.5662e+10   2.5662e+10
  1.7699e+02   1.7889e+02   5.1846e+00   3.1203e-05  -4.5486e-06   5.0542e-08   3.9907e+10   3.9907e+10
  2.2281e+02   2.2521e+02   5.4149e+00   1.4592e-05  -5.0418e-06   4.0606e-08   6.1825e+10   6.1825e+10
