#   R_nom       meanR       meanlogR       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8358e+00   1.0401e+00   1.5711e-05  -6.1787e-08   6.4338e-07   1.4728e+07   1.4728e+07
  3.5313e+00   3.5697e+00   1.2703e+00   1.8836e-05  -4.0029e-07   5.1644e-07   2.2858e+07   2.2858e+07
  4.4457e+00   4.5079e+00   1.5038e+00   1.6897e-05  -1.3319e-08   4.0647e-07   3.6899e+07   3.6899e+07
  5.5968e+00   5.6566e+00   1.7306e+00   1.3941e-05  -4.6729e-08   3.2740e-07   5.6874e+07   5.6874e+07
  7.0460e+00   7.1240e+00   1.9613e+00   1.0178e-05  -2.8686e-07   2.5745e-07   9.1979e+07   9.1979e+07
  8.8703e+00   8.9666e+00   2.1913e+00   1.0031e-05  -3.9322e-07   2.0674e-07   1.4263e+08   1.4263e+08
  1.1167e+01   1.1288e+01   2.4216e+00   7.9142e-06  -1.3602e-07   1.6375e-07   2.2735e+08   2.2735e+08
  1.4059e+01   1.4215e+01   2.6521e+00   6.8490e-06  -1.5190e-07   1.3045e-07   3.5825e+08   3.5825e+08
  1.7699e+01   1.7895e+01   2.8823e+00   6.3451e-06  -1.8171e-07   1.0403e-07   5.6336e+08   5.6336e+08
  2.2281e+01   2.2524e+01   3.1124e+00   4.9190e-06  -2.3188e-07   8.2716e-08   8.9104e+08   8.9104e+08
  2.8050e+01   2.8365e+01   3.3430e+00   3.3803e-06   5.8174e-08   6.5902e-08   1.4037e+09   1.4037e+09
  3.5313e+01   3.5694e+01   3.5728e+00   1.9045e-06  -5.4442e-07   5.2518e-08   2.2103e+09   2.2103e+09
  4.4457e+01   4.4949e+01   3.8033e+00   1.1979e-06  -5.4112e-07   4.1796e-08   3.4898e+09   3.4898e+09
  5.5968e+01   5.6577e+01   4.0334e+00   8.7077e-07  -3.7086e-07   3.3363e-08   5.4769e+09   5.4769e+09
  7.0460e+01   7.1220e+01   4.2636e+00   1.0276e-06  -5.8684e-07   2.6564e-08   8.6396e+09   8.6396e+09
  8.8703e+01   8.9669e+01   4.4939e+00   1.0042e-06  -7.6398e-07   2.1226e-08   1.3532e+10   1.3532e+10
  1.1167e+02   1.1287e+02   4.7241e+00   7.0129e-07  -8.7450e-07   1.6956e-08   2.1204e+10   2.1204e+10
  1.4059e+02   1.4211e+02   4.9544e+00  -1.2857e-07  -1.1527e-06   1.3570e-08   3.3108e+10   3.3108e+10
  1.7699e+02   1.7889e+02   5.1846e+00  -3.6339e-07  -1.3185e-06   1.0883e-08   5.1473e+10   5.1473e+10
  2.2281e+02   2.2521e+02   5.4148e+00  -1.6255e-07  -1.9141e-06   8.7444e-09   7.9729e+10   7.9729e+10
