#   R_nom       meanR       meanlogR       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8356e+00   1.0401e+00   2.7078e-04  -3.9196e-07   1.0291e-06   5.7567e+06   5.7567e+06
  3.5313e+00   3.5695e+00   1.2702e+00   3.1985e-04  -2.3683e-07   8.2664e-07   8.9216e+06   8.9216e+06
  4.4457e+00   4.5088e+00   1.5040e+00   3.1181e-04   4.0922e-07   6.5033e-07   1.4414e+07   1.4414e+07
  5.5968e+00   5.6564e+00   1.7306e+00   2.5272e-04   6.0210e-07   5.2397e-07   2.2206e+07   2.2206e+07
  7.0460e+00   7.1242e+00   1.9613e+00   1.8977e-04  -3.1751e-07   4.1173e-07   3.5962e+07   3.5962e+07
  8.8703e+00   8.9663e+00   2.1913e+00   1.7646e-04  -2.7921e-07   3.3078e-07   5.5716e+07   5.5716e+07
  1.1167e+01   1.1288e+01   2.4216e+00   1.4183e-04   6.9228e-08   2.6197e-07   8.8830e+07   8.8830e+07
  1.4059e+01   1.4215e+01   2.6521e+00   1.1635e-04  -5.5138e-08   2.0862e-07   1.4007e+08   1.4007e+08
  1.7699e+01   1.7895e+01   2.8824e+00   8.9823e-05   1.4577e-07   1.6647e-07   2.1999e+08   2.1999e+08
  2.2281e+01   2.2524e+01   3.1124e+00   7.2570e-05  -8.9459e-08   1.3228e-07   3.4838e+08   3.4838e+08
  2.8050e+01   2.8367e+01   3.3430e+00   5.9219e-05   7.3172e-08   1.0544e-07   5.4831e+08   5.4831e+08
  3.5313e+01   3.5693e+01   3.5728e+00   4.9611e-05  -1.3366e-07   8.4041e-08   8.6315e+08   8.6315e+08
  4.4457e+01   4.4951e+01   3.8034e+00   4.1592e-05  -2.9427e-07   6.6884e-08   1.3628e+09   1.3628e+09
  5.5968e+01   5.6576e+01   4.0334e+00   3.5288e-05  -2.5105e-07   5.3420e-08   2.1363e+09   2.1363e+09
  7.0460e+01   7.1215e+01   4.2635e+00   2.9167e-05  -2.4780e-07   4.2514e-08   3.3729e+09   3.3729e+09
  8.8703e+01   8.9674e+01   4.4940e+00   2.4309e-05  -5.2722e-07   3.3981e-08   5.2796e+09   5.2796e+09
  1.1167e+02   1.1286e+02   4.7240e+00   2.2285e-05  -7.5879e-07   2.7155e-08   8.2674e+09   8.2674e+09
  1.4059e+02   1.4210e+02   4.9544e+00   2.3385e-05  -1.1123e-06   2.1729e-08   1.2911e+10   1.2911e+10
  1.7699e+02   1.7888e+02   5.1846e+00   2.1052e-05  -1.4377e-06   1.7442e-08   2.0039e+10   2.0039e+10
  2.2281e+02   2.2520e+02   5.4148e+00   1.7154e-05  -1.7299e-06   1.4013e-08   3.1044e+10   3.1044e+10
