#   R_nom       meanR       meanlogR       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8356e+00   1.0401e+00   1.1835e-03  -1.5684e-06   3.3678e-06   5.7567e+06   5.7567e+06
  3.5313e+00   3.5695e+00   1.2702e+00   1.3911e-03  -2.6922e-06   2.7053e-06   8.9216e+06   8.9216e+06
  4.4457e+00   4.5088e+00   1.5040e+00   1.3487e-03   3.0406e-07   2.1283e-06   1.4414e+07   1.4414e+07
  5.5968e+00   5.6564e+00   1.7306e+00   1.0827e-03   8.0758e-07   1.7148e-06   2.2206e+07   2.2206e+07
  7.0460e+00   7.1242e+00   1.9613e+00   8.1090e-04   4.5157e-07   1.3475e-06   3.5962e+07   3.5962e+07
  8.8703e+00   8.9663e+00   2.1913e+00   7.5452e-04  -9.3563e-07   1.0825e-06   5.5716e+07   5.5716e+07
  1.1167e+01   1.1288e+01   2.4216e+00   5.9899e-04  -2.7104e-07   8.5734e-07   8.8830e+07   8.8830e+07
  1.4059e+01   1.4215e+01   2.6521e+00   4.8820e-04  -5.0385e-07   6.8274e-07   1.4007e+08   1.4007e+08
  1.7699e+01   1.7895e+01   2.8824e+00   3.8409e-04   1.1288e-06   5.4480e-07   2.1999e+08   2.1999e+08
  2.2281e+01   2.2524e+01   3.1124e+00   3.1483e-04   3.5930e-07   4.3292e-07   3.4838e+08   3.4838e+08
  2.8050e+01   2.8367e+01   3.3430e+00   2.6075e-04   6.7342e-07   3.4508e-07   5.4831e+08   5.4831e+08
  3.5313e+01   3.5693e+01   3.5728e+00   2.2000e-04  -6.6065e-09   2.7504e-07   8.6315e+08   8.6315e+08
  4.4457e+01   4.4951e+01   3.8034e+00   1.8717e-04   6.3602e-07   2.1889e-07   1.3628e+09   1.3628e+09
  5.5968e+01   5.6576e+01   4.0334e+00   1.6028e-04  -4.4855e-07   1.7482e-07   2.1363e+09   2.1363e+09
  7.0460e+01   7.1215e+01   4.2635e+00   1.3559e-04  -7.4549e-07   1.3913e-07   3.3729e+09   3.3729e+09
  8.8703e+01   8.9674e+01   4.4940e+00   1.1488e-04  -1.3615e-06   1.1121e-07   5.2796e+09   5.2796e+09
  1.1167e+02   1.1286e+02   4.7240e+00   1.0132e-04  -2.6058e-06   8.8869e-08   8.2674e+09   8.2674e+09
  1.4059e+02   1.4210e+02   4.9544e+00   9.9084e-05  -3.9936e-06   7.1113e-08   1.2911e+10   1.2911e+10
  1.7699e+02   1.7888e+02   5.1846e+00   8.6491e-05  -4.6487e-06   5.7081e-08   2.0039e+10   2.0039e+10
  2.2281e+02   2.2520e+02   5.4148e+00   6.7524e-05  -6.2846e-06   4.5861e-08   3.1044e+10   3.1044e+10
