#   R_nom       meanR       meanlogR       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8358e+00   1.0402e+00   8.3219e-05   4.0955e-06   3.0440e-06   7.0465e+06   7.0465e+06
  3.5313e+00   3.5696e+00   1.2703e+00   9.8267e-05   6.1427e-07   2.4456e-06   1.0917e+07   1.0917e+07
  4.4457e+00   4.5088e+00   1.5040e+00   9.0997e-05   6.3047e-07   1.9237e-06   1.7645e+07   1.7645e+07
  5.5968e+00   5.6566e+00   1.7306e+00   7.1685e-05   1.8360e-06   1.5499e-06   2.7181e+07   2.7181e+07
  7.0460e+00   7.1243e+00   1.9614e+00   5.1743e-05   1.4437e-07   1.2179e-06   4.4016e+07   4.4016e+07
  8.8703e+00   8.9666e+00   2.1913e+00   5.0862e-05   3.5617e-07   9.7850e-07   6.8195e+07   6.8195e+07
  1.1167e+01   1.1289e+01   2.4216e+00   4.1988e-05   2.1219e-06   7.7492e-07   1.0873e+08   1.0873e+08
  1.4059e+01   1.4215e+01   2.6521e+00   3.9125e-05   1.8888e-07   6.1726e-07   1.7137e+08   1.7137e+08
  1.7699e+01   1.7895e+01   2.8824e+00   3.5151e-05   1.5030e-06   4.9236e-07   2.6934e+08   2.6934e+08
  2.2281e+01   2.2524e+01   3.1124e+00   2.4731e-05  -2.4342e-07   3.9138e-07   4.2625e+08   4.2625e+08
  2.8050e+01   2.8366e+01   3.3430e+00   1.7381e-05   7.9945e-07   3.1190e-07   6.7118e+08   6.7118e+08
  3.5313e+01   3.5693e+01   3.5728e+00   9.1919e-06  -4.1887e-07   2.4857e-07   1.0568e+09   1.0568e+09
  4.4457e+01   4.4951e+01   3.8034e+00   7.3648e-06  -1.6234e-06   1.9781e-07   1.6686e+09   1.6686e+09
  5.5968e+01   5.6577e+01   4.0334e+00   5.4463e-06  -2.0682e-06   1.5796e-07   2.6169e+09   2.6169e+09
  7.0460e+01   7.1217e+01   4.2636e+00   1.3520e-06  -2.0212e-06   1.2571e-07   4.1319e+09   4.1319e+09
  8.8703e+01   8.9673e+01   4.4940e+00  -4.5363e-06  -2.4243e-06   1.0045e-07   6.4707e+09   6.4707e+09
  1.1167e+02   1.1287e+02   4.7240e+00  -4.6286e-06  -3.0770e-06   8.0266e-08   1.0134e+10   1.0134e+10
  1.4059e+02   1.4210e+02   4.9544e+00  -4.5845e-06  -4.0713e-06   6.4219e-08   1.5832e+10   1.5832e+10
  1.7699e+02   1.7889e+02   5.1846e+00   1.0633e-06  -5.3435e-06   5.1513e-08   2.4606e+10   2.4606e+10
  2.2281e+02   2.2521e+02   5.4148e+00  -5.1572e-06  -6.9879e-06   4.1389e-08   3.8116e+10   3.8116e+10
