#   R_nom       meanR       meanlogR       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8358e+00   1.0401e+00   8.4463e-05   1.4397e-06   1.8019e-06   1.1432e+07   1.1432e+07
  3.5313e+00   3.5697e+00   1.2703e+00   9.5605e-05  -1.2425e-07   1.4472e-06   1.7724e+07   1.7724e+07
  4.4457e+00   4.5082e+00   1.5039e+00   8.4175e-05   1.1230e-06   1.1387e-06   2.8628e+07   2.8628e+07
  5.5968e+00   5.6566e+00   1.7306e+00   6.2197e-05   1.3836e-06   9.1717e-07   4.4126e+07   4.4126e+07
  7.0460e+00   7.1242e+00   1.9613e+00   4.1341e-05   1.7966e-07   7.2113e-07   7.1379e+07   7.1379e+07
  8.8703e+00   8.9665e+00   2.1913e+00   4.7160e-05  -1.9866e-08   5.7914e-07   1.1067e+08   1.1067e+08
  1.1167e+01   1.1289e+01   2.4216e+00   3.7970e-05   7.0644e-07   4.5870e-07   1.7642e+08   1.7642e+08
  1.4059e+01   1.4215e+01   2.6521e+00   3.4343e-05   9.2504e-08   3.6540e-07   2.7800e+08   2.7800e+08
  1.7699e+01   1.7895e+01   2.8824e+00   2.7828e-05   3.6877e-07   2.9141e-07   4.3710e+08   4.3710e+08
  2.2281e+01   2.2524e+01   3.1124e+00   2.3628e-05  -2.0987e-07   2.3168e-07   6.9153e+08   6.9153e+08
  2.8050e+01   2.8365e+01   3.3430e+00   2.0108e-05   7.5484e-07   1.8461e-07   1.0891e+09   1.0891e+09
  3.5313e+01   3.5694e+01   3.5728e+00   1.9717e-05  -3.1412e-08   1.4713e-07   1.7147e+09   1.7147e+09
  4.4457e+01   4.4949e+01   3.8033e+00   1.4381e-05  -6.4350e-07   1.1710e-07   2.7070e+09   2.7070e+09
  5.5968e+01   5.6577e+01   4.0334e+00   9.6069e-06  -1.1551e-06   9.3491e-08   4.2468e+09   4.2468e+09
  7.0460e+01   7.1218e+01   4.2636e+00   5.6283e-06  -2.0733e-06   7.4436e-08   6.6993e+09   6.6993e+09
  8.8703e+01   8.9670e+01   4.4940e+00   4.7001e-06  -1.5371e-06   5.9482e-08   1.0491e+10   1.0491e+10
  1.1167e+02   1.1287e+02   4.7241e+00   3.6259e-06  -1.8894e-06   4.7521e-08   1.6437e+10   1.6437e+10
  1.4059e+02   1.4210e+02   4.9544e+00   4.6392e-06  -2.4002e-06   3.8032e-08   2.5662e+10   2.5662e+10
  1.7699e+02   1.7889e+02   5.1846e+00   6.8207e-06  -2.7128e-06   3.0498e-08   3.9907e+10   3.9907e+10
  2.2281e+02   2.2521e+02   5.4149e+00  -3.2141e-07  -3.3521e-06   2.4503e-08   6.1825e+10   6.1825e+10
