#   R_nom       meanR       meanlogR       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8358e+00   1.0401e+00   1.3413e-05   4.1448e-07   7.3026e-07   1.1432e+07   1.1432e+07
  3.5313e+00   3.5697e+00   1.2703e+00   1.5567e-05   1.0000e-07   5.8648e-07   1.7724e+07   1.7724e+07
  4.4457e+00   4.5082e+00   1.5039e+00   1.3469e-05   1.2072e-07   4.6147e-07   2.8628e+07   2.8628e+07
  5.5968e+00   5.6566e+00   1.7306e+00   1.1089e-05   6.3826e-07   3.7170e-07   4.4126e+07   4.4126e+07
  7.0460e+00   7.1242e+00   1.9613e+00   6.9628e-06  -1.1849e-07   2.9225e-07   7.1379e+07   7.1379e+07
  8.8703e+00   8.9665e+00   2.1913e+00   8.6845e-06   1.8314e-07   2.3470e-07   1.1067e+08   1.1067e+08
  1.1167e+01   1.1289e+01   2.4216e+00   7.6438e-06   3.4212e-07   1.8589e-07   1.7642e+08   1.7642e+08
  1.4059e+01   1.4215e+01   2.6521e+00   6.9621e-06   5.0069e-08   1.4808e-07   2.7800e+08   2.7800e+08
  1.7699e+01   1.7895e+01   2.8824e+00   5.2860e-06   2.1823e-07   1.1810e-07   4.3710e+08   4.3710e+08
  2.2281e+01   2.2524e+01   3.1124e+00   4.8711e-06   7.4108e-08   9.3892e-08   6.9153e+08   6.9153e+08
  2.8050e+01   2.8365e+01   3.3430e+00   4.1067e-06   1.0764e-07   7.4817e-08   1.0891e+09   1.0891e+09
  3.5313e+01   3.5694e+01   3.5728e+00   4.4987e-06  -5.4780e-08   5.9627e-08   1.7147e+09   1.7147e+09
  4.4457e+01   4.4949e+01   3.8033e+00   3.1863e-06  -2.9999e-07   4.7456e-08   2.7070e+09   2.7070e+09
  5.5968e+01   5.6577e+01   4.0334e+00   1.2089e-06  -4.7246e-07   3.7889e-08   4.2468e+09   4.2468e+09
  7.0460e+01   7.1218e+01   4.2636e+00  -4.0580e-08  -7.8680e-07   3.0166e-08   6.6993e+09   6.6993e+09
  8.8703e+01   8.9670e+01   4.4940e+00  -7.8549e-07  -6.3464e-07   2.4106e-08   1.0491e+10   1.0491e+10
  1.1167e+02   1.1287e+02   4.7241e+00   1.2152e-09  -7.5446e-07   1.9259e-08   1.6437e+10   1.6437e+10
  1.4059e+02   1.4210e+02   4.9544e+00   5.8856e-07  -8.4906e-07   1.5413e-08   2.5662e+10   2.5662e+10
  1.7699e+02   1.7889e+02   5.1846e+00   1.4800e-06  -7.1194e-07   1.2360e-08   3.9907e+10   3.9907e+10
  2.2281e+02   2.2521e+02   5.4149e+00   4.1664e-07  -9.3886e-07   9.9301e-09   6.1825e+10   6.1825e+10
