#   R_nom       meanR       meanlogR        xi        sigma_xi        DD           RR           DR         npairs   
  2.8050e+00   2.8313e+00   1.0386e+00   3.3499e-01   4.5567e-03   6.4245e+04   4.8161e+04   4.8136e+04   6.4245e+04
  3.5313e+00   3.5656e+00   1.2691e+00   2.5715e-01   3.6281e-03   9.5375e+04   7.5972e+04   7.5905e+04   9.5375e+04
  4.4457e+00   4.4911e+00   1.4999e+00   1.9486e-01   2.8894e-03   1.4277e+05   1.1978e+05   1.1961e+05   1.4277e+05
  5.5968e+00   5.6562e+00   1.7306e+00   1.5594e-01   2.3005e-03   2.1807e+05   1.8896e+05   1.8878e+05   2.1807e+05
  7.0460e+00   7.1212e+00   1.9609e+00   1.3601e-01   1.8313e-03   3.3807e+05   2.9819e+05   2.9785e+05   3.3807e+05
  8.8703e+00   8.9622e+00   2.1908e+00   1.0872e-01   1.4575e-03   5.2048e+05   4.7073e+05   4.7002e+05   5.2048e+05
  1.1167e+01   1.1289e+01   2.4217e+00   8.8136e-02   1.1601e-03   8.0909e+05   7.4306e+05   7.4333e+05   8.0909e+05
  1.4059e+01   1.4206e+01   2.6514e+00   7.7625e-02   9.2334e-04   1.2554e+06   1.1729e+06   1.1687e+06   1.2554e+06
  1.7699e+01   1.7889e+01   2.8820e+00   6.2803e-02   7.3555e-04   1.9684e+06   1.8483e+06   1.8503e+06   1.9684e+06
  2.2281e+01   2.2524e+01   3.1124e+00   5.8133e-02   5.8560e-04   3.0769e+06   2.9161e+06   2.9117e+06   3.0769e+06
  2.8050e+01   2.8354e+01   3.3426e+00   5.2078e-02   4.6627e-04   4.8108e+06   4.5997e+06   4.5855e+06   4.8108e+06
  3.5313e+01   3.5696e+01   3.5729e+00   3.4763e-02   3.7162e-04   7.5219e+06   7.2409e+06   7.2555e+06   7.5219e+06
  4.4457e+01   4.4939e+01   3.8031e+00   3.5643e-02   2.9600e-04   1.1750e+07   1.1413e+07   1.1378e+07   1.1750e+07
  5.5968e+01   5.6573e+01   4.0334e+00   2.6644e-02   2.3596e-04   1.8394e+07   1.7960e+07   1.7938e+07   1.8394e+07
  7.0460e+01   7.1218e+01   4.2636e+00   1.8317e-02   1.8823e-04   2.8778e+07   2.8225e+07   2.8243e+07   2.8778e+07
  8.8703e+01   8.9662e+01   4.4939e+00   1.9307e-02   1.5018e-04   4.4935e+07   4.4340e+07   4.4209e+07   4.4935e+07
  1.1167e+02   1.1287e+02   4.7240e+00   1.1699e-02   1.2005e-04   7.0063e+07   6.9382e+07   6.9317e+07   7.0063e+07
  1.4059e+02   1.4209e+02   4.9543e+00   7.1278e-03   9.6108e-05   1.0872e+08   1.0826e+08   1.0810e+08   1.0872e+08
  1.7699e+02   1.7888e+02   5.1845e+00   7.2250e-03   7.7032e-05   1.6852e+08   1.6852e+08   1.6791e+08   1.6852e+08
  2.2281e+02   2.2519e+02   5.4148e+00   2.4787e-03   6.1935e-05   2.6001e+08   2.6070e+08   2.6003e+08   2.6001e+08
