#   R_nom       meanR       meanlogR        xi        sigma_xi        DD           RR           DR         npairs   
  2.8050e+00   2.8324e+00   1.0389e+00   2.5591e-01   2.6262e-03   1.8195e+05   1.4499e+05   1.4492e+05   1.8195e+05
  3.5313e+00   3.5657e+00   1.2692e+00   1.7902e-01   2.0910e-03   2.6946e+05   2.2872e+05   2.2862e+05   2.6946e+05
  4.4457e+00   4.4924e+00   1.5002e+00   1.3357e-01   1.6652e-03   4.0802e+05   3.6062e+05   3.6024e+05   4.0802e+05
  5.5968e+00   5.6581e+00   1.7309e+00   1.1418e-01   1.3258e-03   6.3323e+05   5.6888e+05   5.6858e+05   6.3323e+05
  7.0460e+00   7.1221e+00   1.9610e+00   1.1061e-01   1.0554e-03   9.9566e+05   8.9772e+05   8.9705e+05   9.9566e+05
  8.8703e+00   8.9642e+00   2.1911e+00   8.8257e-02   8.4002e-04   1.5391e+06   1.4172e+06   1.4156e+06   1.5391e+06
  1.1167e+01   1.1289e+01   2.4217e+00   7.1568e-02   6.6859e-04   2.4000e+06   2.2370e+06   2.2384e+06   2.4000e+06
  1.4059e+01   1.4208e+01   2.6516e+00   6.8214e-02   5.3215e-04   3.7482e+06   3.5312e+06   3.5193e+06   3.7482e+06
  1.7699e+01   1.7890e+01   2.8821e+00   5.0781e-02   4.2392e-04   5.8608e+06   5.5646e+06   5.5714e+06   5.8608e+06
  2.2281e+01   2.2524e+01   3.1124e+00   4.7024e-02   3.3750e-04   9.1718e+06   8.7792e+06   8.7691e+06   9.1718e+06
  2.8050e+01   2.8354e+01   3.3426e+00   4.1672e-02   2.6873e-04   1.4362e+07   1.3848e+07   1.3816e+07   1.4362e+07
  3.5313e+01   3.5695e+01   3.5728e+00   2.5831e-02   2.1418e-04   2.2473e+07   2.1799e+07   2.1855e+07   2.2473e+07
  4.4457e+01   4.4937e+01   3.8031e+00   2.6581e-02   1.7060e-04   3.5158e+07   3.4360e+07   3.4302e+07   3.5158e+07
  5.5968e+01   5.6575e+01   4.0334e+00   1.8178e-02   1.3599e-04   5.5098e+07   5.4071e+07   5.4093e+07   5.5098e+07
  7.0460e+01   7.1223e+01   4.2636e+00   1.0754e-02   1.0848e-04   8.6257e+07   8.4974e+07   8.5159e+07   8.6257e+07
  8.8703e+01   8.9662e+01   4.4939e+00   1.1432e-02   8.6552e-05   1.3488e+08   1.3349e+08   1.3342e+08   1.3488e+08
  1.1167e+02   1.1287e+02   4.7241e+00   5.7002e-03   6.9191e-05   2.1068e+08   2.0888e+08   2.0918e+08   2.1068e+08
  1.4059e+02   1.4209e+02   4.9543e+00   4.1001e-03   5.5390e-05   3.2820e+08   3.2594e+08   3.2640e+08   3.2820e+08
  1.7699e+02   1.7889e+02   5.1846e+00   3.6543e-03   4.4396e-05   5.0988e+08   5.0735e+08   5.0769e+08   5.0988e+08
  2.2281e+02   2.2520e+02   5.4148e+00   8.9400e-04   3.5695e-05   7.8881e+08   7.8485e+08   7.8648e+08   7.8881e+08
