#   R_nom       meanR       meanlogR        xi        sigma_xi        DD           RR           DR         npairs   
  2.8050e+00   2.8336e+00   1.0394e+00   1.7444e-01   2.2951e-03   2.2273e+05   1.8984e+05   1.8973e+05   2.2273e+05
  3.5313e+00   3.5670e+00   1.2695e+00   1.2523e-01   1.8274e-03   3.3668e+05   2.9947e+05   2.9932e+05   3.3668e+05
  4.4457e+00   4.4923e+00   1.5002e+00   9.9954e-02   1.4553e-03   5.1823e+05   4.7217e+05   4.7160e+05   5.1823e+05
  5.5968e+00   5.6591e+00   1.7311e+00   8.9492e-02   1.1587e-03   8.1050e+05   7.4485e+05   7.4435e+05   8.1050e+05
  7.0460e+00   7.1221e+00   1.9610e+00   8.5552e-02   9.2237e-04   1.2741e+06   1.1754e+06   1.1745e+06   1.2741e+06
  8.8703e+00   8.9633e+00   2.1910e+00   6.9247e-02   7.3411e-04   1.9794e+06   1.8555e+06   1.8532e+06   1.9794e+06
  1.1167e+01   1.1288e+01   2.4216e+00   5.7687e-02   5.8431e-04   3.1007e+06   2.9290e+06   2.9304e+06   3.1007e+06
  1.4059e+01   1.4207e+01   2.6516e+00   5.4451e-02   4.6506e-04   4.8429e+06   4.6235e+06   4.6073e+06   4.8429e+06
  1.7699e+01   1.7889e+01   2.8820e+00   3.8188e-02   3.7048e-04   7.5812e+06   7.2858e+06   7.2944e+06   7.5812e+06
  2.2281e+01   2.2523e+01   3.1124e+00   3.4959e-02   2.9495e-04   1.1870e+07   1.1495e+07   1.1481e+07   1.1870e+07
  2.8050e+01   2.8356e+01   3.3427e+00   2.9591e-02   2.3485e-04   1.8575e+07   1.8131e+07   1.8085e+07   1.8575e+07
  3.5313e+01   3.5697e+01   3.5729e+00   1.4938e-02   1.8718e-04   2.9096e+07   2.8542e+07   2.8606e+07   2.9096e+07
  4.4457e+01   4.4937e+01   3.8031e+00   1.7209e-02   1.4909e-04   4.5577e+07   4.4988e+07   4.4896e+07   4.5577e+07
  5.5968e+01   5.6574e+01   4.0334e+00   9.0121e-03   1.1885e-04   7.1367e+07   7.0797e+07   7.0763e+07   7.1367e+07
  7.0460e+01   7.1224e+01   4.2637e+00   3.3512e-03   9.4805e-05   1.1188e+08   1.1126e+08   1.1138e+08   1.1188e+08
  8.8703e+01   8.9665e+01   4.4939e+00   5.3581e-03   7.5641e-05   1.7514e+08   1.7478e+08   1.7449e+08   1.7514e+08
  1.1167e+02   1.1288e+02   4.7241e+00   1.6651e-03   6.0468e-05   2.7391e+08   2.7349e+08   2.7347e+08   2.7391e+08
  1.4059e+02   1.4210e+02   4.9544e+00   1.6163e-03   4.8407e-05   4.2724e+08   4.2676e+08   4.2665e+08   4.2724e+08
  1.7699e+02   1.7889e+02   5.1846e+00   9.9387e-04   3.8799e-05   6.6411e+08   6.6428e+08   6.6387e+08   6.6411e+08
  2.2281e+02   2.2520e+02   5.4148e+00  -2.3554e-04   3.1195e-05   1.0283e+09   1.0276e+09   1.0281e+09   1.0283e+09
