#   R_nom       meanR       meanlogR        xi        sigma_xi        DD           RR           DR         npairs   
  2.8050e+00   2.8331e+00   1.0392e+00   1.9286e-01   1.7810e-03   3.7585e+05   3.1527e+05   3.1516e+05   3.7585e+05
  3.5313e+00   3.5672e+00   1.2696e+00   1.3872e-01   1.4180e-03   5.6578e+05   4.9732e+05   4.9706e+05   5.6578e+05
  4.4457e+00   4.4930e+00   1.5003e+00   1.0072e-01   1.1293e-03   8.6138e+05   7.8412e+05   7.8326e+05   8.6138e+05
  5.5968e+00   5.6576e+00   1.7308e+00   9.1921e-02   8.9913e-04   1.3497e+06   1.2370e+06   1.2365e+06   1.3497e+06
  7.0460e+00   7.1219e+00   1.9610e+00   8.7468e-02   7.1575e-04   2.1198e+06   1.9520e+06   1.9505e+06   2.1198e+06
  8.8703e+00   8.9634e+00   2.1910e+00   6.9009e-02   5.6967e-04   3.2874e+06   3.0815e+06   3.0781e+06   3.2874e+06
  1.1167e+01   1.1289e+01   2.4217e+00   5.7292e-02   4.5342e-04   5.1473e+06   4.8642e+06   4.8664e+06   5.1473e+06
  1.4059e+01   1.4208e+01   2.6516e+00   5.5184e-02   3.6089e-04   8.0503e+06   7.6782e+06   7.6524e+06   8.0503e+06
  1.7699e+01   1.7890e+01   2.8821e+00   4.0466e-02   2.8749e-04   1.2616e+07   1.2099e+07   1.2113e+07   1.2616e+07
  2.2281e+01   2.2524e+01   3.1124e+00   3.6751e-02   2.2888e-04   1.9747e+07   1.9089e+07   1.9067e+07   1.9747e+07
  2.8050e+01   2.8355e+01   3.3426e+00   3.1238e-02   1.8224e-04   3.0908e+07   3.0110e+07   3.0039e+07   3.0908e+07
  3.5313e+01   3.5694e+01   3.5728e+00   1.7480e-02   1.4525e-04   4.8447e+07   4.7400e+07   4.7509e+07   4.8447e+07
  4.4457e+01   4.4938e+01   3.8031e+00   1.8925e-02   1.1569e-04   7.5915e+07   7.4712e+07   7.4607e+07   7.5915e+07
  5.5968e+01   5.6575e+01   4.0334e+00   1.2069e-02   9.2225e-05   1.1903e+08   1.1757e+08   1.1759e+08   1.1903e+08
  7.0460e+01   7.1223e+01   4.2636e+00   6.5441e-03   7.3568e-05   1.8663e+08   1.8477e+08   1.8509e+08   1.8663e+08
  8.8703e+01   8.9661e+01   4.4939e+00   7.3450e-03   5.8696e-05   2.9196e+08   2.9025e+08   2.9004e+08   2.9196e+08
  1.1167e+02   1.1288e+02   4.7241e+00   3.3004e-03   4.6923e-05   4.5650e+08   4.5418e+08   4.5459e+08   4.5650e+08
  1.4059e+02   1.4210e+02   4.9544e+00   2.9341e-03   3.7564e-05   7.1207e+08   7.0871e+08   7.0935e+08   7.1207e+08
  1.7699e+02   1.7889e+02   5.1846e+00   2.2074e-03   3.0108e-05   1.1061e+09   1.1032e+09   1.1034e+09   1.1061e+09
  2.2281e+02   2.2520e+02   5.4148e+00   8.4939e-04   2.4207e-05   1.7121e+09   1.7066e+09   1.7086e+09   1.7121e+09
