#   R_nom       meanR       meanlogR       xip          xim         xip_im       xim_im      sigma_xi      weight       npairs   
  2.8050e+00   2.7999e+00   1.0274e+00   5.9529e-05   3.2738e-06  -1.5508e-08   9.5626e-09   3.1395e-09   3.8391e+08   3.8391e+08
  3.5313e+00   3.5669e+00   1.2700e+00   4.3847e-05   6.6250e-06  -9.0028e-09  -1.2255e-08   2.6947e-09   5.2110e+08   5.2110e+08
  4.4457e+00   4.4851e+00   1.4988e+00   3.2811e-05   1.1164e-05  -1.6816e-08  -3.5294e-09   2.1173e-09   8.4410e+08   8.4410e+08
  5.5968e+00   5.6574e+00   1.7306e+00   2.8004e-05   1.4932e-05  -1.6345e-08  -6.5487e-09   1.6482e-09   1.3929e+09   1.3929e+09
  7.0460e+00   7.1425e+00   1.9639e+00   2.5590e-05   1.3872e-05  -1.7574e-08   8.8195e-10   1.3402e-09   2.1066e+09   2.1066e+09
  8.8703e+00   8.9769e+00   2.1925e+00   1.9804e-05   9.8868e-06  -2.2588e-08  -4.7868e-09   1.0640e-09   3.3428e+09   3.3428e+09
  1.1167e+01   1.1293e+01   2.4220e+00   1.6601e-05   9.5408e-06  -1.9966e-08  -2.9967e-09   8.4681e-10   5.2769e+09   5.2769e+09
  1.4059e+01   1.4209e+01   2.6517e+00   1.3865e-05   7.6972e-06  -2.0835e-08   1.4299e-10   6.7265e-10   8.3634e+09   8.3634e+09
  1.7699e+01   1.7891e+01   2.8821e+00   1.1702e-05   6.7114e-06  -2.1878e-08   5.9149e-09   5.3617e-10   1.3163e+10   1.3163e+10
  2.2281e+01   2.2523e+01   3.1124e+00   9.6909e-06   5.5086e-06  -2.2986e-08   2.9903e-10   4.2676e-10   2.0777e+10   2.0777e+10
  2.8050e+01   2.8354e+01   3.3426e+00   8.0217e-06   4.5351e-06  -1.9894e-08  -4.1034e-09   3.3991e-10   3.2752e+10   3.2752e+10
  3.5313e+01   3.5699e+01   3.5730e+00   6.5780e-06   3.7764e-06  -1.3657e-08   3.0050e-09   2.7068e-10   5.1646e+10   5.1646e+10
  4.4457e+01   4.4944e+01   3.8032e+00   5.2947e-06   3.1610e-06  -5.9925e-09  -7.1459e-09   2.1581e-10   8.1250e+10   8.1250e+10
  5.5968e+01   5.6582e+01   4.0335e+00   4.3001e-06   2.7123e-06  -4.0102e-09  -2.1187e-09   1.7189e-10   1.2807e+11   1.2807e+11
  7.0460e+01   7.1231e+01   4.2637e+00   3.3924e-06   2.2649e-06   5.4579e-09   4.6662e-09   1.3718e-10   2.0108e+11   2.0108e+11
  8.8703e+01   8.9664e+01   4.4939e+00   2.6614e-06   1.9466e-06   6.2826e-09   7.2550e-09   1.0947e-10   3.1575e+11   3.1575e+11
  1.1167e+02   1.1288e+02   4.7242e+00   2.0287e-06   1.6373e-06   6.4408e-09   2.1504e-08   8.7483e-11   4.9443e+11   4.9443e+11
  1.4059e+02   1.4209e+02   4.9543e+00   1.4616e-06   1.3553e-06   2.8002e-09   1.7429e-08   7.0044e-11   7.7129e+11   7.7129e+11
  1.7699e+02   1.7889e+02   5.1846e+00   9.1703e-07   1.1638e-06  -4.1737e-09  -5.2540e-09   5.6129e-11   1.2011e+12   1.2011e+12
  2.2281e+02   2.2521e+02   5.4149e+00   5.9271e-07   1.0613e-06  -2.3171e-09   8.8160e-09   4.5141e-11   1.8570e+12   1.8570e+12
