#   R_nom       meanR       meanlogR       xip          xim         xip_im       xim_im      sigma_xi      weight       npairs   
  2.8050e+00   2.7999e+00   1.0274e+00   1.3926e-05   5.6571e-07  -1.6784e-08   7.7469e-09   7.6775e-10   3.8391e+08   3.8391e+08
  3.5313e+00   3.5669e+00   1.2700e+00   1.0929e-05   1.1496e-06  -1.1595e-08  -1.2727e-08   6.5898e-10   5.2110e+08   5.2110e+08
  4.4457e+00   4.4851e+00   1.4988e+00   8.6307e-06   1.9665e-06  -1.4503e-08  -6.4342e-10   5.1777e-10   8.4410e+08   8.4410e+08
  5.5968e+00   5.6574e+00   1.7306e+00   7.3082e-06   2.6848e-06  -1.5307e-08   3.0265e-10   4.0307e-10   1.3929e+09   1.3929e+09
  7.0460e+00   7.1425e+00   1.9639e+00   6.4162e-06   2.6289e-06  -1.3523e-08  -7.5179e-10   3.2775e-10   2.1066e+09   2.1066e+09
  8.8703e+00   8.9769e+00   2.1925e+00   5.0380e-06   2.0642e-06  -1.3265e-08  -3.1181e-10   2.6019e-10   3.3428e+09   3.3428e+09
  1.1167e+01   1.1293e+01   2.4220e+00   4.1426e-06   2.0569e-06  -1.2916e-08  -1.7453e-09   2.0708e-10   5.2769e+09   5.2769e+09
  1.4059e+01   1.4209e+01   2.6517e+00   3.4014e-06   1.7759e-06  -1.3393e-08  -6.6532e-10   1.6449e-10   8.3634e+09   8.3634e+09
  1.7699e+01   1.7891e+01   2.8821e+00   2.8249e-06   1.6018e-06  -1.4526e-08   1.7296e-09   1.3112e-10   1.3163e+10   1.3163e+10
  2.2281e+01   2.2523e+01   3.1124e+00   2.3310e-06   1.3649e-06  -1.5196e-08   1.0612e-09   1.0436e-10   2.0777e+10   2.0777e+10
  2.8050e+01   2.8354e+01   3.3426e+00   1.9473e-06   1.1497e-06  -1.4879e-08   1.7479e-10   8.3122e-11   3.2752e+10   3.2752e+10
  3.5313e+01   3.5699e+01   3.5730e+00   1.6277e-06   9.5637e-07  -1.3600e-08   1.7765e-09   6.6194e-11   5.1646e+10   5.1646e+10
  4.4457e+01   4.4944e+01   3.8032e+00   1.3548e-06   7.9099e-07  -1.2411e-08  -2.1507e-09   5.2774e-11   8.1250e+10   8.1250e+10
  5.5968e+01   5.6582e+01   4.0335e+00   1.1388e-06   6.5852e-07  -1.4093e-08  -1.5553e-09   4.2036e-11   1.2807e+11   1.2807e+11
  7.0460e+01   7.1231e+01   4.2637e+00   9.4076e-07   5.3498e-07  -1.3641e-08   1.1438e-09   3.3547e-11   2.0108e+11   2.0108e+11
  8.8703e+01   8.9664e+01   4.4939e+00   7.5857e-07   4.4355e-07  -1.4127e-08   3.4387e-09   2.6771e-11   3.1575e+11   3.1575e+11
  1.1167e+02   1.1288e+02   4.7242e+00   6.0078e-07   3.7491e-07  -1.4270e-08   6.5118e-09   2.1393e-11   4.9443e+11   4.9443e+11
  1.4059e+02   1.4209e+02   4.9543e+00   4.6277e-07   3.1296e-07  -1.4122e-08   5.1145e-09   1.7129e-11   7.7129e+11   7.7129e+11
  1.7699e+02   1.7889e+02   5.1846e+00   3.2086e-07   2.6819e-07  -1.2177e-08   5.9121e-10   1.3726e-11   1.2011e+12   1.2011e+12
  2.2281e+02   2.2521e+02   5.4149e+00   2.1900e-07   2.4411e-07  -6.7976e-09   3.3888e-09   1.1039e-11   1.8570e+12   1.8570e+12
