#   R_nom       meanR       meanlogR       xip          xim         xip_im       xim_im      sigma_xi      weight       npairs   
  2.8050e+00   2.7999e+00   1.0274e+00   2.6839e-05   1.2578e-06  -1.8266e-08   8.5967e-09   1.2880e-09   3.8391e+08   3.8391e+08
  3.5313e+00   3.5669e+00   1.2700e+00   2.0442e-05   2.5560e-06  -1.5314e-08  -1.5756e-08   1.1055e-09   5.2110e+08   5.2110e+08
  4.4457e+00   4.4851e+00   1.4988e+00   1.5706e-05   4.3477e-06  -1.7600e-08  -2.4604e-10   8.6860e-10   8.4410e+08   8.4410e+08
  5.5968e+00   5.6574e+00   1.7306e+00   1.3257e-05   5.8879e-06  -1.7449e-08  -9.4808e-10   6.7617e-10   1.3929e+09   1.3929e+09
  7.0460e+00   7.1425e+00   1.9639e+00   1.1774e-05   5.6453e-06  -1.6366e-08  -2.0473e-10   5.4982e-10   2.1066e+09   2.1066e+09
  8.8703e+00   8.9769e+00   2.1925e+00   9.1465e-06   4.2649e-06  -1.7157e-08  -3.0256e-10   4.3648e-10   3.3428e+09   3.3428e+09
  1.1167e+01   1.1293e+01   2.4220e+00   7.5710e-06   4.1788e-06  -1.6238e-08  -3.0206e-09   3.4740e-10   5.2769e+09   5.2769e+09
  1.4059e+01   1.4209e+01   2.6517e+00   6.2654e-06   3.4921e-06  -1.6229e-08  -1.7449e-09   2.7595e-10   8.3634e+09   8.3634e+09
  1.7699e+01   1.7891e+01   2.8821e+00   5.2538e-06   3.0840e-06  -1.7069e-08   2.4121e-09   2.1996e-10   1.3163e+10   1.3163e+10
  2.2281e+01   2.2523e+01   3.1124e+00   4.3595e-06   2.5679e-06  -1.7870e-08   7.0250e-10   1.7508e-10   2.0777e+10   2.0777e+10
  2.8050e+01   2.8354e+01   3.3426e+00   3.6417e-06   2.1235e-06  -1.7468e-08  -4.8146e-10   1.3944e-10   3.2752e+10   3.2752e+10
  3.5313e+01   3.5699e+01   3.5730e+00   3.0368e-06   1.7575e-06  -1.5819e-08   2.1812e-09   1.1104e-10   5.1646e+10   5.1646e+10
  4.4457e+01   4.4944e+01   3.8032e+00   2.5031e-06   1.4479e-06  -1.4325e-08  -3.5568e-09   8.8532e-11   8.1250e+10   8.1250e+10
  5.5968e+01   5.6582e+01   4.0335e+00   2.0742e-06   1.2141e-06  -1.6260e-08  -1.3970e-09   7.0518e-11   1.2807e+11   1.2807e+11
  7.0460e+01   7.1231e+01   4.2637e+00   1.6866e-06   1.0010e-06  -1.5381e-08   2.1884e-09   5.6277e-11   2.0108e+11   2.0108e+11
  8.8703e+01   8.9664e+01   4.4939e+00   1.3472e-06   8.4245e-07  -1.5411e-08   5.4524e-09   4.4910e-11   3.1575e+11   3.1575e+11
  1.1167e+02   1.1288e+02   4.7242e+00   1.0443e-06   7.0989e-07  -1.5288e-08   1.0631e-08   3.5889e-11   4.9443e+11   4.9443e+11
  1.4059e+02   1.4209e+02   4.9543e+00   7.7122e-07   5.9296e-07  -1.4455e-08   8.0568e-09   2.8735e-11   7.7129e+11   7.7129e+11
  1.7699e+02   1.7889e+02   5.1846e+00   5.0817e-07   5.1637e-07  -1.2716e-08  -2.8491e-12   2.3026e-11   1.2011e+12   1.2011e+12
  2.2281e+02   2.2521e+02   5.4149e+00   3.2631e-07   4.7178e-07  -7.6337e-09   5.1029e-09   1.8519e-11   1.8570e+12   1.8570e+12
