#   R_nom       meanR       meanlogR       xip          xim         xip_im       xim_im      sigma_xi      weight       npairs   
  2.8050e+00   2.7999e+00   1.0274e+00   1.7247e-05   7.3873e-07  -4.3352e-08   1.0569e-08   1.2723e-09   3.8391e+08   3.8391e+08
  3.5313e+00   3.5669e+00   1.2700e+00   1.3425e-05   1.4940e-06  -3.6000e-08  -1.4530e-08   1.0921e-09   5.2110e+08   5.2110e+08
  4.4457e+00   4.4851e+00   1.4988e+00   1.0533e-05   2.5453e-06  -3.9755e-08  -1.5033e-09   8.5806e-10   8.4410e+08   8.4410e+08
  5.5968e+00   5.6574e+00   1.7306e+00   8.9443e-06   3.4616e-06  -4.0872e-08   4.5142e-10   6.6797e-10   1.3929e+09   1.3929e+09
  7.0460e+00   7.1425e+00   1.9639e+00   7.9052e-06   3.3543e-06  -3.9340e-08  -1.2885e-09   5.4315e-10   2.1066e+09   2.1066e+09
  8.8703e+00   8.9769e+00   2.1925e+00   6.2039e-06   2.5873e-06  -3.9713e-08  -1.7078e-09   4.3118e-10   3.3428e+09   3.3428e+09
  1.1167e+01   1.1293e+01   2.4220e+00   5.1130e-06   2.5651e-06  -3.8112e-08  -1.7320e-09   3.4318e-10   5.2769e+09   5.2769e+09
  1.4059e+01   1.4209e+01   2.6517e+00   4.2043e-06   2.1944e-06  -3.8019e-08  -1.2821e-10   2.7260e-10   8.3634e+09   8.3634e+09
  1.7699e+01   1.7891e+01   2.8821e+00   3.4936e-06   1.9748e-06  -3.9485e-08   3.4530e-09   2.1729e-10   1.3163e+10   1.3163e+10
  2.2281e+01   2.2523e+01   3.1124e+00   2.8838e-06   1.6811e-06  -4.0800e-08   2.3374e-09   1.7295e-10   2.0777e+10   2.0777e+10
  2.8050e+01   2.8354e+01   3.3426e+00   2.4073e-06   1.4136e-06  -3.8082e-08   1.8320e-10   1.3775e-10   3.2752e+10   3.2752e+10
  3.5313e+01   3.5699e+01   3.5730e+00   2.0067e-06   1.1761e-06  -3.3627e-08   2.7115e-09   1.0970e-10   5.1646e+10   5.1646e+10
  4.4457e+01   4.4944e+01   3.8032e+00   1.6660e-06   9.7660e-07  -2.8361e-08  -3.3703e-09   8.7459e-11   8.1250e+10   8.1250e+10
  5.5968e+01   5.6582e+01   4.0335e+00   1.4078e-06   8.1900e-07  -2.8875e-08  -2.4716e-09   6.9662e-11   1.2807e+11   1.2807e+11
  7.0460e+01   7.1231e+01   4.2637e+00   1.1582e-06   6.5877e-07  -2.4184e-08   1.2259e-09   5.5594e-11   2.0108e+11   2.0108e+11
  8.8703e+01   8.9664e+01   4.4939e+00   9.3723e-07   5.5165e-07  -2.4176e-08   3.5908e-09   4.4365e-11   3.1575e+11   3.1575e+11
  1.1167e+02   1.1288e+02   4.7242e+00   7.4788e-07   4.6485e-07  -2.3880e-08   9.0983e-09   3.5454e-11   4.9443e+11   4.9443e+11
  1.4059e+02   1.4209e+02   4.9543e+00   5.7692e-07   3.8193e-07  -2.2341e-08   7.1102e-09   2.8386e-11   7.7129e+11   7.7129e+11
  1.7699e+02   1.7889e+02   5.1846e+00   3.9886e-07   3.2851e-07  -2.1191e-08  -4.1774e-10   2.2747e-11   1.2011e+12   1.2011e+12
  2.2281e+02   2.2521e+02   5.4149e+00   2.6854e-07   2.9795e-07  -1.1678e-08   5.2227e-09   1.8294e-11   1.8570e+12   1.8570e+12
