#   R_nom       meanR       meanlogR       xip          xim         xip_im       xim_im      sigma_xi      weight       npairs   
  2.8050e+00   2.7999e+00   1.0274e+00   3.1851e-05   1.5377e-06  -3.4171e-08   9.2850e-09   1.7082e-09   3.8391e+08   3.8391e+08
  3.5313e+00   3.5669e+00   1.2700e+00   2.4122e-05   3.1219e-06  -2.9834e-08  -1.6965e-08   1.4662e-09   5.2110e+08   5.2110e+08
  4.4457e+00   4.4851e+00   1.4988e+00   1.8453e-05   5.2976e-06  -3.4360e-08  -6.2267e-10   1.1520e-09   8.4410e+08   8.4410e+08
  5.5968e+00   5.6574e+00   1.7306e+00   1.5606e-05   7.1571e-06  -3.3011e-08  -1.6121e-09   8.9680e-10   1.3929e+09   1.3929e+09
  7.0460e+00   7.1425e+00   1.9639e+00   1.3931e-05   6.8219e-06  -3.2258e-08  -4.3873e-10   7.2922e-10   2.1066e+09   2.1066e+09
  8.8703e+00   8.9769e+00   2.1925e+00   1.0821e-05   5.0987e-06  -3.4278e-08  -1.2788e-09   5.7890e-10   3.3428e+09   3.3428e+09
  1.1167e+01   1.1293e+01   2.4220e+00   8.9796e-06   4.9811e-06  -3.2180e-08  -3.0405e-09   4.6075e-10   5.2769e+09   5.2769e+09
  1.4059e+01   1.4209e+01   2.6517e+00   7.4463e-06   4.1364e-06  -3.2323e-08  -1.4307e-09   3.6598e-10   8.3634e+09   8.3634e+09
  1.7699e+01   1.7891e+01   2.8821e+00   6.2539e-06   3.6452e-06  -3.3842e-08   3.5259e-09   2.9172e-10   1.3163e+10   1.3163e+10
  2.2281e+01   2.2523e+01   3.1124e+00   5.1941e-06   3.0293e-06  -3.5603e-08   1.1207e-09   2.3220e-10   2.0777e+10   2.0777e+10
  2.8050e+01   2.8354e+01   3.3426e+00   4.3383e-06   2.5021e-06  -3.4199e-08  -1.0690e-09   1.8494e-10   3.2752e+10   3.2752e+10
  3.5313e+01   3.5699e+01   3.5730e+00   3.6100e-06   2.0705e-06  -3.0434e-08   2.5456e-09   1.4728e-10   5.1646e+10   5.1646e+10
  4.4457e+01   4.4944e+01   3.8032e+00   2.9661e-06   1.7109e-06  -2.6601e-08  -4.8149e-09   1.1742e-10   8.1250e+10   8.1250e+10
  5.5968e+01   5.6582e+01   4.0335e+00   2.4541e-06   1.4414e-06  -2.8850e-08  -1.8298e-09   9.3526e-11   1.2807e+11   1.2807e+11
  7.0460e+01   7.1231e+01   4.2637e+00   1.9848e-06   1.1894e-06  -2.5202e-08   2.6599e-09   7.4640e-11   2.0108e+11   2.0108e+11
  8.8703e+01   8.9664e+01   4.4939e+00   1.5831e-06   1.0077e-06  -2.4967e-08   5.8732e-09   5.9564e-11   3.1575e+11   3.1575e+11
  1.1167e+02   1.1288e+02   4.7242e+00   1.2279e-06   8.5001e-07  -2.4670e-08   1.3267e-08   4.7599e-11   4.9443e+11   4.9443e+11
  1.4059e+02   1.4209e+02   4.9543e+00   9.0417e-07   7.0684e-07  -2.4022e-08   1.0151e-08   3.8110e-11   7.7129e+11   7.7129e+11
  1.7699e+02   1.7889e+02   5.1846e+00   5.9440e-07   6.1619e-07  -2.2091e-08  -1.4582e-09   3.0540e-11   1.2011e+12   1.2011e+12
  2.2281e+02   2.2521e+02   5.4149e+00   3.8134e-07   5.6116e-07  -1.3264e-08   6.2677e-09   2.4561e-11   1.8570e+12   1.8570e+12
