#   R_nom       meanR       meanlogR       xip          xim         xip_im       xim_im      sigma_xi      weight       npairs   
  2.8050e+00   2.7999e+00   1.0274e+00   1.0582e-04   6.3444e-06   2.3630e-08   9.3389e-09   7.3580e-09   1.9195e+08   1.9195e+08
  3.5313e+00   3.5669e+00   1.2700e+00   7.6592e-05   1.2794e-05   3.2020e-08   1.4262e-09   6.3155e-09   2.6055e+08   2.6055e+08
  4.4457e+00   4.4851e+00   1.4988e+00   5.6702e-05   2.1449e-05   2.7918e-08  -9.7760e-09   4.9622e-09   4.2205e+08   4.2205e+08
  5.5968e+00   5.6574e+00   1.7306e+00   4.9135e-05   2.8435e-05   3.2352e-08  -1.5247e-08   3.8629e-09   6.9644e+08   6.9644e+08
  7.0460e+00   7.1425e+00   1.9639e+00   4.5878e-05   2.5841e-05   1.2408e-08   4.7606e-09   3.1411e-09   1.0533e+09   1.0533e+09
  8.8703e+00   8.9769e+00   2.1925e+00   3.5497e-05   1.7686e-05  -5.2002e-09  -1.1436e-08   2.4936e-09   1.6714e+09   1.6714e+09
  1.1167e+01   1.1293e+01   2.4220e+00   2.9963e-05   1.6997e-05   6.4518e-09  -1.1035e-09   1.9846e-09   2.6385e+09   2.6385e+09
  1.4059e+01   1.4209e+01   2.6517e+00   2.5064e-05   1.3468e-05   1.9157e-08   2.1521e-09   1.5765e-09   4.1817e+09   4.1817e+09
  1.7699e+01   1.7891e+01   2.8821e+00   2.1108e-05   1.1746e-05   1.1187e-08   7.7014e-09   1.2566e-09   6.5815e+09   6.5815e+09
  2.2281e+01   2.2523e+01   3.1124e+00   1.7304e-05   9.6375e-06   5.6321e-09   2.6569e-10   1.0002e-09   1.0388e+10   1.0388e+10
  2.8050e+01   2.8354e+01   3.3426e+00   1.4119e-05   8.0036e-06   5.6908e-08  -5.4750e-09   7.9663e-10   1.6376e+10   1.6376e+10
  3.5313e+01   3.5699e+01   3.5730e+00   1.1351e-05   6.7495e-06  -5.3783e-09   4.3088e-09   6.3439e-10   2.5823e+10   2.5823e+10
  4.4457e+01   4.4944e+01   3.8032e+00   8.9160e-06   5.7411e-06  -4.4842e-08  -9.2985e-09   5.0578e-10   4.0625e+10   4.0625e+10
  5.5968e+01   5.6582e+01   4.0335e+00   7.0301e-06   4.9860e-06  -1.1636e-07  -6.3025e-09   4.0286e-10   6.4033e+10   6.4033e+10
  7.0460e+01   7.1231e+01   4.2637e+00   5.3655e-06   4.2231e-06  -1.1474e-07   6.2854e-09   3.2151e-10   1.0054e+11   1.0054e+11
  8.8703e+01   8.9664e+01   4.4939e+00   4.1077e-06   3.6625e-06  -6.5884e-08   7.5593e-09   2.5657e-10   1.5788e+11   1.5788e+11
  1.1167e+02   1.1288e+02   4.7242e+00   3.0646e-06   3.0695e-06  -3.0013e-08   3.0772e-08   2.0503e-10   2.4722e+11   2.4722e+11
  1.4059e+02   1.4209e+02   4.9543e+00   2.1850e-06   2.5250e-06   1.9296e-08   2.6826e-08   1.6416e-10   3.8565e+11   3.8565e+11
  1.7699e+02   1.7889e+02   5.1846e+00   1.3305e-06   2.1030e-06  -4.4742e-08  -1.3747e-08   1.3155e-10   6.0054e+11   6.0054e+11
  2.2281e+02   2.2521e+02   5.4149e+00   8.7883e-07   1.8766e-06  -6.6477e-08   3.1302e-09   1.0579e-10   9.2851e+11   9.2851e+11
