#   R_nom       meanR       meanlogR       xip          xim         xip_im       xim_im      sigma_xi      weight       npairs   
  2.8050e+00   2.7999e+00   1.0274e+00   4.0669e-05   2.0892e-06  -1.8920e-09   9.1389e-09   2.6792e-09   1.9195e+08   1.9195e+08
  3.5313e+00   3.5669e+00   1.2700e+00   3.0374e-05   4.2428e-06  -6.9325e-10  -1.6972e-08   2.2996e-09   2.6055e+08   2.6055e+08
  4.4457e+00   4.4851e+00   1.4988e+00   2.2965e-05   7.1828e-06  -3.2497e-09  -4.8538e-11   1.8068e-09   4.2205e+08   4.2205e+08
  5.5968e+00   5.6574e+00   1.7306e+00   1.9463e-05   9.6584e-06  -1.7601e-09  -2.6622e-09   1.4066e-09   6.9644e+08   6.9644e+08
  7.0460e+00   7.1425e+00   1.9639e+00   1.7539e-05   9.1033e-06  -3.8582e-09  -1.1625e-10   1.1437e-09   1.0533e+09   1.0533e+09
  8.8703e+00   8.9769e+00   2.1925e+00   1.3582e-05   6.6635e-06  -5.1210e-09  -1.2158e-09   9.0795e-10   1.6714e+09   1.6714e+09
  1.1167e+01   1.1293e+01   2.4220e+00   1.1325e-05   6.4676e-06  -3.1937e-09  -3.6440e-09   7.2264e-10   2.6385e+09   2.6385e+09
  1.4059e+01   1.4209e+01   2.6517e+00   9.4329e-06   5.2930e-06  -3.0337e-10  -1.8334e-09   5.7401e-10   4.1817e+09   4.1817e+09
  1.7699e+01   1.7891e+01   2.8821e+00   7.9523e-06   4.6292e-06   5.7401e-09   3.4348e-09   4.5754e-10   6.5815e+09   6.5815e+09
  2.2281e+01   2.2523e+01   3.1124e+00   6.6053e-06   3.8136e-06   1.9027e-09   3.0838e-10   3.6419e-10   1.0388e+10   1.0388e+10
  2.8050e+01   2.8354e+01   3.3426e+00   5.5001e-06   3.1361e-06   1.8605e-08  -2.0667e-09   2.9006e-10   1.6376e+10   1.6376e+10
  3.5313e+01   3.5699e+01   3.5730e+00   4.5547e-06   2.6005e-06   8.9607e-09   2.1104e-09   2.3099e-10   2.5823e+10   2.5823e+10
  4.4457e+01   4.4944e+01   3.8032e+00   3.7122e-06   2.1564e-06  -1.8511e-09  -4.9573e-09   1.8416e-10   4.0625e+10   4.0625e+10
  5.5968e+01   5.6582e+01   4.0335e+00   3.0412e-06   1.8280e-06  -2.9037e-08  -1.4380e-09   1.4669e-10   6.4033e+10   6.4033e+10
  7.0460e+01   7.1231e+01   4.2637e+00   2.4314e-06   1.5210e-06  -3.1104e-08   3.3516e-09   1.1707e-10   1.0054e+11   1.0054e+11
  8.8703e+01   8.9664e+01   4.4939e+00   1.9188e-06   1.2972e-06  -2.7322e-08   6.9880e-09   9.3420e-11   1.5788e+11   1.5788e+11
  1.1167e+02   1.1288e+02   4.7242e+00   1.4679e-06   1.0960e-06  -1.8728e-08   1.5292e-08   7.4655e-11   2.4722e+11   2.4722e+11
  1.4059e+02   1.4209e+02   4.9543e+00   1.0624e-06   9.1452e-07  -2.6826e-09   1.1543e-08   5.9773e-11   3.8565e+11   3.8565e+11
  1.7699e+02   1.7889e+02   5.1846e+00   6.8123e-07   7.9538e-07  -2.6870e-08  -1.2667e-09   4.7899e-11   6.0054e+11   6.0054e+11
  2.2281e+02   2.2521e+02   5.4149e+00   4.3118e-07   7.2264e-07  -2.5214e-08   8.0292e-09   3.8522e-11   9.2851e+11   9.2851e+11
