#   R_nom       meanR       meanlogR       xip          xim         xip_im       xim_im      sigma_xi      weight       npairs   
  2.8050e+00   2.7999e+00   1.0274e+00   6.9261e-05   3.9005e-06   4.7439e-09   1.1384e-08   4.7127e-09   1.9195e+08   1.9195e+08
  3.5313e+00   3.5669e+00   1.2700e+00   5.0740e-05   7.8954e-06   8.7040e-09  -1.4897e-08   4.0450e-09   2.6055e+08   2.6055e+08
  4.4457e+00   4.4851e+00   1.4988e+00   3.7836e-05   1.3292e-05   4.9692e-09  -2.5639e-09   3.1783e-09   4.2205e+08   4.2205e+08
  5.5968e+00   5.6574e+00   1.7306e+00   3.2395e-05   1.7732e-05   1.0471e-08  -8.7135e-09   2.4742e-09   6.9644e+08   6.9644e+08
  7.0460e+00   7.1425e+00   1.9639e+00   2.9773e-05   1.6383e-05   3.8282e-09   1.1101e-09   2.0118e-09   1.0533e+09   1.0533e+09
  8.8703e+00   8.9769e+00   2.1925e+00   2.3043e-05   1.1555e-05  -2.7653e-09  -5.1715e-09   1.5971e-09   1.6714e+09   1.6714e+09
  1.1167e+01   1.1293e+01   2.4220e+00   1.9371e-05   1.1130e-05   1.4993e-09  -3.0881e-09   1.2711e-09   2.6385e+09   2.6385e+09
  1.4059e+01   1.4209e+01   2.6517e+00   1.6217e-05   8.9284e-06   7.8682e-09  -4.4145e-10   1.0097e-09   4.1817e+09   4.1817e+09
  1.7699e+01   1.7891e+01   2.8821e+00   1.3706e-05   7.7706e-06   1.0632e-08   5.8931e-09   8.0484e-10   6.5815e+09   6.5815e+09
  2.2281e+01   2.2523e+01   3.1124e+00   1.1349e-05   6.3653e-06   5.3412e-09   1.2980e-10   6.4061e-10   1.0388e+10   1.0388e+10
  2.8050e+01   2.8354e+01   3.3426e+00   9.3846e-06   5.2417e-06   3.3611e-08  -5.1722e-09   5.1023e-10   1.6376e+10   1.6376e+10
  3.5313e+01   3.5699e+01   3.5730e+00   7.6733e-06   4.3714e-06   2.7600e-09   2.6626e-09   4.0632e-10   2.5823e+10   2.5823e+10
  4.4457e+01   4.4944e+01   3.8032e+00   6.1493e-06   3.6723e-06  -2.5486e-08  -7.9710e-09   3.2395e-10   4.0625e+10   4.0625e+10
  5.5968e+01   5.6582e+01   4.0335e+00   4.9543e-06   3.1591e-06  -7.3187e-08  -2.8738e-09   2.5803e-10   6.4033e+10   6.4033e+10
  7.0460e+01   7.1231e+01   4.2637e+00   3.8707e-06   2.6560e-06  -7.3344e-08   5.0566e-09   2.0592e-10   1.0054e+11   1.0054e+11
  8.8703e+01   8.9664e+01   4.4939e+00   3.0032e-06   2.2937e-06  -4.9745e-08   7.8037e-09   1.6433e-10   1.5788e+11   1.5788e+11
  1.1167e+02   1.1288e+02   4.7242e+00   2.2659e-06   1.9413e-06  -3.4085e-08   2.3323e-08   1.3132e-10   2.4722e+11   2.4722e+11
  1.4059e+02   1.4209e+02   4.9543e+00   1.6134e-06   1.6118e-06  -5.5783e-10   1.8898e-08   1.0514e-10   3.8565e+11   3.8565e+11
  1.7699e+02   1.7889e+02   5.1846e+00   1.0113e-06   1.3861e-06  -4.0937e-08  -7.4675e-09   8.4255e-11   6.0054e+11   6.0054e+11
  2.2281e+02   2.2521e+02   5.4149e+00   6.5391e-07   1.2455e-06  -4.4324e-08   9.8481e-09   6.7761e-11   9.2851e+11   9.2851e+11
