#   R_nom       meanR       meanlogR       xip          xim         xip_im       xim_im      sigma_xi      weight       npairs   
  2.8050e+00   2.7999e+00   1.0274e+00   1.9854e-05   8.7268e-07  -1.6305e-10   7.8338e-09   1.2383e-09   1.9195e+08   1.9195e+08
  3.5313e+00   3.5669e+00   1.2700e+00   1.5319e-05   1.7733e-06   1.5543e-10  -1.3576e-08   1.0629e-09   2.6055e+08   2.6055e+08
  4.4457e+00   4.4851e+00   1.4988e+00   1.1895e-05   3.0274e-06  -3.7958e-10  -5.8756e-10   8.3513e-10   4.2205e+08   4.2205e+08
  5.5968e+00   5.6574e+00   1.7306e+00   1.0022e-05   4.1211e-06  -2.1101e-09  -5.2378e-10   6.5012e-10   6.9644e+08   6.9644e+08
  7.0460e+00   7.1425e+00   1.9639e+00   8.8249e-06   3.9975e-06  -3.0596e-09  -3.9848e-11   5.2863e-10   1.0533e+09   1.0533e+09
  8.8703e+00   8.9769e+00   2.1925e+00   6.8678e-06   3.0841e-06  -2.8995e-09   1.0968e-10   4.1966e-10   1.6714e+09   1.6714e+09
  1.1167e+01   1.1293e+01   2.4220e+00   5.6549e-06   3.0430e-06  -3.4135e-09  -2.5192e-09   3.3401e-10   2.6385e+09   2.6385e+09
  1.4059e+01   1.4209e+01   2.6517e+00   4.6558e-06   2.5812e-06  -3.0689e-09  -1.4129e-09   2.6531e-10   4.1817e+09   4.1817e+09
  1.7699e+01   1.7891e+01   2.8821e+00   3.8864e-06   2.2967e-06   2.4040e-09   1.4703e-09   2.1148e-10   6.5815e+09   6.5815e+09
  2.2281e+01   2.2523e+01   3.1124e+00   3.2153e-06   1.9258e-06   3.0037e-09   5.6447e-10   1.6833e-10   1.0388e+10   1.0388e+10
  2.8050e+01   2.8354e+01   3.3426e+00   2.6850e-06   1.6010e-06   1.0064e-08   1.3669e-10   1.3407e-10   1.6376e+10   1.6376e+10
  3.5313e+01   3.5699e+01   3.5730e+00   2.2449e-06   1.3256e-06   7.9822e-09   1.9660e-09   1.0677e-10   2.5823e+10   2.5823e+10
  4.4457e+01   4.4944e+01   3.8032e+00   1.8591e-06   1.0882e-06   7.9787e-09  -2.4811e-09   8.5121e-11   4.0625e+10   4.0625e+10
  5.5968e+01   5.6582e+01   4.0335e+00   1.5478e-06   9.0684e-07  -3.0080e-09  -1.1254e-09   6.7800e-11   6.4033e+10   6.4033e+10
  7.0460e+01   7.1231e+01   4.2637e+00   1.2731e-06   7.4497e-07  -5.2244e-09   1.5540e-09   5.4108e-11   1.0054e+11   1.0054e+11
  8.8703e+01   8.9664e+01   4.4939e+00   1.0219e-06   6.1778e-07  -9.2253e-09   4.2459e-09   4.3179e-11   1.5788e+11   1.5788e+11
  1.1167e+02   1.1288e+02   4.7242e+00   7.9542e-07   5.1884e-07  -4.8921e-09   7.1499e-09   3.4506e-11   2.4722e+11   2.4722e+11
  1.4059e+02   1.4209e+02   4.9543e+00   5.9394e-07   4.3500e-07  -2.7236e-09   5.5984e-09   2.7627e-11   3.8565e+11   3.8565e+11
  1.7699e+02   1.7889e+02   5.1846e+00   3.9729e-07   3.7792e-07  -1.4638e-08   6.6516e-10   2.2139e-11   6.0054e+11   6.0054e+11
  2.2281e+02   2.2521e+02   5.4149e+00   2.6042e-07   3.4673e-07  -1.1060e-08   3.2846e-09   1.7805e-11   9.2851e+11   9.2851e+11
