#   R_nom       meanR       meanlogR       xip          xim         xip_im       xim_im      sigma_xi      weight       npairs   
  2.8050e+00   2.7999e+00   1.0274e+00   1.1370e-05   4.4178e-07  -2.5069e-09   6.5308e-09   5.2196e-10   3.8391e+08   3.8391e+08
  3.5313e+00   3.5669e+00   1.2700e+00   8.9898e-06   8.9810e-07   1.9706e-10  -1.0639e-08   4.4801e-10   5.2110e+08   5.2110e+08
  4.4457e+00   4.4851e+00   1.4988e+00   7.1397e-06   1.5401e-06  -1.5601e-09  -7.6946e-10   3.5201e-10   8.4410e+08   8.4410e+08
  5.5968e+00   5.6574e+00   1.7306e+00   6.0338e-06   2.1121e-06  -1.9135e-09   1.2659e-10   2.7403e-10   1.3929e+09   1.3929e+09
  7.0460e+00   7.1425e+00   1.9639e+00   5.2672e-06   2.0870e-06  -1.1463e-09  -5.0966e-10   2.2282e-10   2.1066e+09   2.1066e+09
  8.8703e+00   8.9769e+00   2.1925e+00   4.1345e-06   1.6641e-06  -7.7400e-10   7.0377e-11   1.7689e-10   3.3428e+09   3.3428e+09
  1.1167e+01   1.1293e+01   2.4220e+00   3.3858e-06   1.6662e-06  -8.5727e-10  -1.4292e-09   1.4079e-10   5.2769e+09   5.2769e+09
  1.4059e+01   1.4209e+01   2.6517e+00   2.7678e-06   1.4530e-06  -1.2710e-09  -4.5260e-10   1.1183e-10   8.3634e+09   8.3634e+09
  1.7699e+01   1.7891e+01   2.8821e+00   2.2894e-06   1.3162e-06  -1.6941e-09   8.9200e-10   8.9140e-11   1.3163e+10   1.3163e+10
  2.2281e+01   2.2523e+01   3.1124e+00   1.8802e-06   1.1249e-06  -1.8234e-09   5.2013e-10   7.0952e-11   2.0777e+10   2.0777e+10
  2.8050e+01   2.8354e+01   3.3426e+00   1.5654e-06   9.5112e-07  -1.8062e-09   1.9704e-10   5.6511e-11   3.2752e+10   3.2752e+10
  3.5313e+01   3.5699e+01   3.5730e+00   1.3073e-06   7.9204e-07  -1.7948e-09   1.4180e-09   4.5003e-11   5.1646e+10   5.1646e+10
  4.4457e+01   4.4944e+01   3.8032e+00   1.0869e-06   6.5323e-07  -1.8720e-09  -1.5710e-09   3.5879e-11   8.1250e+10   8.1250e+10
  5.5968e+01   5.6582e+01   4.0335e+00   9.1333e-07   5.4237e-07  -2.3971e-09  -1.2251e-09   2.8578e-11   1.2807e+11   1.2807e+11
  7.0460e+01   7.1231e+01   4.2637e+00   7.6005e-07   4.4114e-07  -2.5920e-09   8.4109e-10   2.2807e-11   2.0108e+11   2.0108e+11
  8.8703e+01   8.9664e+01   4.4939e+00   6.1424e-07   3.6007e-07  -3.1205e-09   2.6824e-09   1.8200e-11   3.1575e+11   3.1575e+11
  1.1167e+02   1.1288e+02   4.7242e+00   4.8520e-07   3.0204e-07  -3.1910e-09   4.3746e-09   1.4545e-11   4.9443e+11   4.9443e+11
  1.4059e+02   1.4209e+02   4.9543e+00   3.7423e-07   2.5311e-07  -3.6010e-09   3.5734e-09   1.1645e-11   7.7129e+11   7.7129e+11
  1.7699e+02   1.7889e+02   5.1846e+00   2.6114e-07   2.1660e-07  -3.1024e-09   7.7524e-10   9.3318e-12   1.2011e+12   1.2011e+12
  2.2281e+02   2.2521e+02   5.4149e+00   1.8164e-07   1.9772e-07  -1.5070e-09   2.3368e-09   7.5049e-12   1.8570e+12   1.8570e+12
