#   R_nom       meanR       meanlogR       xip          xim         xip_im       xim_im      sigma_xi      weight       npairs   
  2.8050e+00   2.7999e+00   1.0274e+00   7.5487e-06   2.7059e-07  -7.6255e-10   4.9334e-09   4.4002e-10   1.9195e+08   1.9195e+08
  3.5313e+00   3.5669e+00   1.2700e+00   6.0533e-06   5.5106e-07  -1.4873e-09  -7.9695e-09   3.7768e-10   2.6055e+08   2.6055e+08
  4.4457e+00   4.4851e+00   1.4988e+00   4.8715e-06   9.4666e-07  -1.0130e-09  -6.4831e-10   2.9675e-10   4.2205e+08   4.2205e+08
  5.5968e+00   5.6574e+00   1.7306e+00   4.1231e-06   1.3051e-06  -1.8192e-09   1.9556e-10   2.3101e-10   6.9644e+08   6.9644e+08
  7.0460e+00   7.1425e+00   1.9639e+00   3.5830e-06   1.3065e-06  -2.8211e-09  -4.7220e-10   1.8784e-10   1.0533e+09   1.0533e+09
  8.8703e+00   8.9769e+00   2.1925e+00   2.8245e-06   1.0637e-06  -2.7404e-09   1.5531e-10   1.4912e-10   1.6714e+09   1.6714e+09
  1.1167e+01   1.1293e+01   2.4220e+00   2.3031e-06   1.0753e-06  -3.9667e-09  -7.8352e-10   1.1869e-10   2.6385e+09   2.6385e+09
  1.4059e+01   1.4209e+01   2.6517e+00   1.8723e-06   9.5515e-07  -3.9721e-09   5.7915e-11   9.4275e-11   4.1817e+09   4.1817e+09
  1.7699e+01   1.7891e+01   2.8821e+00   1.5367e-06   8.7500e-07  -1.1134e-09   3.2453e-10   7.5147e-11   6.5815e+09   6.5815e+09
  2.2281e+01   2.2523e+01   3.1124e+00   1.2511e-06   7.5652e-07   2.6006e-10   2.2595e-10   5.9813e-11   1.0388e+10   1.0388e+10
  2.8050e+01   2.8354e+01   3.3426e+00   1.0351e-06   6.4763e-07   2.4438e-09   3.0435e-11   4.7640e-11   1.6376e+10   1.6376e+10
  3.5313e+01   3.5699e+01   3.5730e+00   8.6071e-07   5.4229e-07   3.8586e-10   8.0147e-10   3.7938e-11   2.5823e+10   2.5823e+10
  4.4457e+01   4.4944e+01   3.8032e+00   7.1426e-07   4.4895e-07   6.1667e-10  -1.2166e-09   3.0246e-11   4.0625e+10   4.0625e+10
  5.5968e+01   5.6582e+01   4.0335e+00   6.0210e-07   3.7210e-07  -3.0537e-09  -1.1843e-09   2.4092e-11   6.4033e+10   6.4033e+10
  7.0460e+01   7.1231e+01   4.2637e+00   5.0301e-07   3.0084e-07  -3.4939e-09   3.5474e-10   1.9227e-11   1.0054e+11   1.0054e+11
  8.8703e+01   8.9664e+01   4.4939e+00   4.0703e-07   2.4240e-07  -4.9242e-09   1.7135e-09   1.5343e-11   1.5788e+11   1.5788e+11
  1.1167e+02   1.1288e+02   4.7242e+00   3.2351e-07   2.0281e-07  -3.6247e-09   2.6780e-09   1.2261e-11   2.4722e+11   2.4722e+11
  1.4059e+02   1.4209e+02   4.9543e+00   2.5393e-07   1.6990e-07  -3.1216e-09   2.3667e-09   9.8170e-12   3.8565e+11   3.8565e+11
  1.7699e+02   1.7889e+02   5.1846e+00   1.8236e-07   1.4349e-07  -5.3161e-09   6.7146e-10   7.8668e-12   6.0054e+11   6.0054e+11
  2.2281e+02   2.2521e+02   5.4149e+00   1.3138e-07   1.2925e-07  -1.5773e-09   1.7029e-09   6.3267e-12   9.2851e+11   9.2851e+11
