#   R_nom       meanR       meanlogR       xip          xim         xip_im       xim_im      sigma_xi      weight       npairs   
  2.8050e+00   2.7999e+00   1.0274e+00   8.3432e-05   4.8409e-06  -3.6546e-09   1.1034e-08   4.1639e-09   3.8391e+08   3.8391e+08
  3.5313e+00   3.5669e+00   1.2700e+00   6.0758e-05   9.7805e-06   1.9121e-09  -8.0233e-09   3.5740e-09   5.2110e+08   5.2110e+08
  4.4457e+00   4.4851e+00   1.4988e+00   4.5121e-05   1.6432e-05  -3.8067e-09  -6.0816e-09   2.8081e-09   8.4410e+08   8.4410e+08
  5.5968e+00   5.6574e+00   1.7306e+00   3.8813e-05   2.1864e-05  -4.5297e-09  -1.1617e-08   2.1860e-09   1.3929e+09   1.3929e+09
  7.0460e+00   7.1425e+00   1.9639e+00   3.5919e-05   2.0056e-05  -4.9887e-09   2.6243e-09   1.7775e-09   2.1066e+09   2.1066e+09
  8.8703e+00   8.9769e+00   2.1925e+00   2.7785e-05   1.3961e-05  -8.1856e-09  -7.8881e-09   1.4111e-09   3.3428e+09   3.3428e+09
  1.1167e+01   1.1293e+01   2.4220e+00   2.3399e-05   1.3427e-05  -6.4688e-09  -2.2352e-09   1.1231e-09   5.2769e+09   5.2769e+09
  1.4059e+01   1.4209e+01   2.6517e+00   1.9584e-05   1.0708e-05  -6.5674e-09   9.2202e-10   8.9212e-10   8.3634e+09   8.3634e+09
  1.7699e+01   1.7891e+01   2.8821e+00   1.6531e-05   9.3214e-06  -6.2313e-09   7.0417e-09   7.1111e-10   1.3163e+10   1.3163e+10
  2.2281e+01   2.2523e+01   3.1124e+00   1.3633e-05   7.6347e-06  -6.1223e-09   1.0062e-10   5.6601e-10   2.0777e+10   2.0777e+10
  2.8050e+01   2.8354e+01   3.3426e+00   1.1211e-05   6.3052e-06  -4.3045e-09  -5.6919e-09   4.5081e-10   3.2752e+10   3.2752e+10
  3.5313e+01   3.5699e+01   3.5730e+00   9.1017e-06   5.2799e-06  -3.5827e-10   3.3429e-09   3.5900e-10   5.1646e+10   5.1646e+10
  4.4457e+01   4.4944e+01   3.8032e+00   7.2334e-06   4.4592e-06   5.4380e-09  -8.6248e-09   2.8622e-10   8.1250e+10   8.1250e+10
  5.5968e+01   5.6582e+01   4.0335e+00   5.7839e-06   3.8544e-06   8.6001e-09  -4.0333e-09   2.2798e-10   1.2807e+11   1.2807e+11
  7.0460e+01   7.1231e+01   4.2637e+00   4.4800e-06   3.2470e-06   1.6021e-08   5.6114e-09   1.8194e-10   2.0108e+11   2.0108e+11
  8.8703e+01   8.9664e+01   4.4939e+00   3.4627e-06   2.8092e-06   1.6950e-08   7.6838e-09   1.4519e-10   3.1575e+11   3.1575e+11
  1.1167e+02   1.1288e+02   4.7242e+00   2.6059e-06   2.3653e-06   1.6783e-08   2.6815e-08   1.1603e-10   4.9443e+11   4.9443e+11
  1.4059e+02   1.4209e+02   4.9543e+00   1.8590e-06   1.9540e-06   1.4097e-08   2.2493e-08   9.2898e-11   7.7129e+11   7.7129e+11
  1.7699e+02   1.7889e+02   5.1846e+00   1.1501e-06   1.6572e-06   7.3849e-09  -1.0038e-08   7.4443e-11   1.2011e+12   1.2011e+12
  2.2281e+02   2.2521e+02   5.4149e+00   7.5449e-07   1.4902e-06   4.9409e-09   7.7434e-09   5.9870e-11   1.8570e+12   1.8570e+12
