#   R_nom       meanR       meanlogR       xip          xim         xip_im       xim_im      sigma_xi      weight       npairs   
  2.8050e+00   2.7999e+00   1.0274e+00   3.5203e-05   1.7346e-06  -4.6183e-08   1.0279e-08   2.1344e-09   3.8391e+08   3.8391e+08
  3.5313e+00   3.5669e+00   1.2700e+00   2.6564e-05   3.5133e-06  -3.8868e-08  -1.5308e-08   1.8320e-09   5.2110e+08   5.2110e+08
  4.4457e+00   4.4851e+00   1.4988e+00   2.0260e-05   5.9518e-06  -4.5729e-08  -2.2403e-09   1.4395e-09   8.4410e+08   8.4410e+08
  5.5968e+00   5.6574e+00   1.7306e+00   1.7156e-05   8.0328e-06  -4.4751e-08  -1.9576e-09   1.1206e-09   1.3929e+09   1.3929e+09
  7.0460e+00   7.1425e+00   1.9639e+00   1.5364e-05   7.6273e-06  -4.4533e-08  -3.6388e-10   9.1117e-10   2.1066e+09   2.1066e+09
  8.8703e+00   8.9769e+00   2.1925e+00   1.1930e-05   5.6618e-06  -4.7897e-08  -2.5345e-09   7.2334e-10   3.3428e+09   3.3428e+09
  1.1167e+01   1.1293e+01   2.4220e+00   9.9104e-06   5.5200e-06  -4.4728e-08  -2.7511e-09   5.7571e-10   5.2769e+09   5.2769e+09
  1.4059e+01   1.4209e+01   2.6517e+00   8.2186e-06   4.5658e-06  -4.4568e-08  -5.0294e-10   4.5730e-10   8.3634e+09   8.3634e+09
  1.7699e+01   1.7891e+01   2.8821e+00   6.9009e-06   4.0210e-06  -4.6015e-08   4.6083e-09   3.6452e-10   1.3163e+10   1.3163e+10
  2.2281e+01   2.2523e+01   3.1124e+00   5.7257e-06   3.3400e-06  -4.7502e-08   1.4416e-09   2.9014e-10   2.0777e+10   2.0777e+10
  2.8050e+01   2.8354e+01   3.3426e+00   4.7740e-06   2.7586e-06  -4.3849e-08  -1.4451e-09   2.3109e-10   3.2752e+10   3.2752e+10
  3.5313e+01   3.5699e+01   3.5730e+00   3.9628e-06   2.2847e-06  -3.7172e-08   3.1542e-09   1.8403e-10   5.1646e+10   5.1646e+10
  4.4457e+01   4.4944e+01   3.8032e+00   3.2461e-06   1.8917e-06  -2.9682e-08  -5.5517e-09   1.4672e-10   8.1250e+10   8.1250e+10
  5.5968e+01   5.6582e+01   4.0335e+00   2.6920e-06   1.6023e-06  -3.0633e-08  -2.2122e-09   1.1686e-10   1.2807e+11   1.2807e+11
  7.0460e+01   7.1231e+01   4.2637e+00   2.1766e-06   1.3164e-06  -2.2653e-08   2.8304e-09   9.3264e-11   2.0108e+11   2.0108e+11
  8.8703e+01   8.9664e+01   4.4939e+00   1.7440e-06   1.1172e-06  -2.1738e-08   5.5739e-09   7.4426e-11   3.1575e+11   3.1575e+11
  1.1167e+02   1.1288e+02   4.7242e+00   1.3577e-06   9.3565e-07  -2.0824e-08   1.4964e-08   5.9476e-11   4.9443e+11   4.9443e+11
  1.4059e+02   1.4209e+02   4.9543e+00   1.0021e-06   7.7308e-07  -2.0673e-08   1.1741e-08   4.7620e-11   7.7129e+11   7.7129e+11
  1.7699e+02   1.7889e+02   5.1846e+00   6.5392e-07   6.7185e-07  -2.2367e-08  -2.1618e-09   3.8160e-11   1.2011e+12   1.2011e+12
  2.2281e+02   2.2521e+02   5.4149e+00   4.2100e-07   6.1758e-07  -1.2886e-08   6.9734e-09   3.0689e-11   1.8570e+12   1.8570e+12
