#   R_nom       meanR       meanlogR       xip          xim         xip_im       xim_im      sigma_xi      weight       npairs   
  2.8050e+00   2.7999e+00   1.0274e+00   5.1609e-05   2.7655e-06  -1.0416e-08   9.7882e-09   2.5126e-09   3.8391e+08   3.8391e+08
  3.5313e+00   3.5669e+00   1.2700e+00   3.8211e-05   5.6076e-06  -8.8151e-09  -1.6695e-08   2.1566e-09   5.2110e+08   5.2110e+08
  4.4457e+00   4.4851e+00   1.4988e+00   2.8708e-05   9.4678e-06  -1.2073e-08  -9.0848e-10   1.6945e-09   8.4410e+08   8.4410e+08
  5.5968e+00   5.6574e+00   1.7306e+00   2.4432e-05   1.2686e-05  -1.0925e-08  -4.8765e-09   1.3191e-09   1.3929e+09   1.3929e+09
  7.0460e+00   7.1425e+00   1.9639e+00   2.2209e-05   1.1850e-05  -1.1456e-08   1.1124e-10   1.0726e-09   2.1066e+09   2.1066e+09
  8.8703e+00   8.9769e+00   2.1925e+00   1.7197e-05   8.5314e-06  -1.3755e-08  -2.7943e-09   8.5149e-10   3.3428e+09   3.3428e+09
  1.1167e+01   1.1293e+01   2.4220e+00   1.4394e-05   8.2493e-06  -1.2492e-08  -3.5108e-09   6.7771e-10   5.2769e+09   5.2769e+09
  1.4059e+01   1.4209e+01   2.6517e+00   1.2021e-05   6.6898e-06  -1.3223e-08  -1.2161e-09   5.3832e-10   8.3634e+09   8.3634e+09
  1.7699e+01   1.7891e+01   2.8821e+00   1.0151e-05   5.8361e-06  -1.4257e-08   4.6551e-09   4.2910e-10   1.3163e+10   1.3163e+10
  2.2281e+01   2.2523e+01   3.1124e+00   8.4260e-06   4.7942e-06  -1.5532e-08   2.9608e-10   3.4154e-10   2.0777e+10   2.0777e+10
  2.8050e+01   2.8354e+01   3.3426e+00   6.9992e-06   3.9423e-06  -1.4543e-08  -3.4397e-09   2.7203e-10   3.2752e+10   3.2752e+10
  3.5313e+01   3.5699e+01   3.5730e+00   5.7669e-06   3.2755e-06  -1.2005e-08   2.3810e-09   2.1663e-10   5.1646e+10   5.1646e+10
  4.4457e+01   4.4944e+01   3.8032e+00   4.6678e-06   2.7314e-06  -9.2645e-09  -6.4396e-09   1.7271e-10   8.1250e+10   8.1250e+10
  5.5968e+01   5.6582e+01   4.0335e+00   3.8006e-06   2.3318e-06  -9.4446e-09  -1.8573e-09   1.3757e-10   1.2807e+11   1.2807e+11
  7.0460e+01   7.1231e+01   4.2637e+00   3.0103e-06   1.9485e-06  -5.9286e-09   4.1703e-09   1.0979e-10   2.0108e+11   2.0108e+11
  8.8703e+01   8.9664e+01   4.4939e+00   2.3607e-06   1.6722e-06  -5.8331e-09   7.4591e-09   8.7612e-11   3.1575e+11   3.1575e+11
  1.1167e+02   1.1288e+02   4.7242e+00   1.7973e-06   1.4143e-06  -5.9474e-09   1.8898e-08   7.0013e-11   4.9443e+11   4.9443e+11
  1.4059e+02   1.4209e+02   4.9543e+00   1.2917e-06   1.1769e-06  -7.3590e-09   1.4730e-08   5.6056e-11   7.7129e+11   7.7129e+11
  1.7699e+02   1.7889e+02   5.1846e+00   8.2035e-07   1.0203e-06  -8.3999e-09  -3.7357e-09   4.4921e-11   1.2011e+12   1.2011e+12
  2.2281e+02   2.2521e+02   5.4149e+00   5.2370e-07   9.2369e-07  -5.2590e-09   9.2645e-09   3.6127e-11   1.8570e+12   1.8570e+12
